group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bubble,ascending,100,,,11769.0,ns,4
bubble,ascending,100,,,23302.0,ns,8
bubble,ascending,100,,,34989.0,ns,12
bubble,ascending,100,,,46624.0,ns,16
bubble,ascending,100,,,62740.0,ns,20
bubble,ascending,100,,,71534.0,ns,24
bubble,ascending,100,,,84173.0,ns,28
bubble,ascending,100,,,93241.0,ns,32
bubble,ascending,100,,,104859.0,ns,36
bubble,ascending,100,,,123461.0,ns,40
bubble,ascending,100,,,136942.0,ns,44
bubble,ascending,100,,,144519.0,ns,48
bubble,ascending,100,,,454814.0,ns,52
bubble,ascending,100,,,175418.0,ns,56
bubble,ascending,100,,,183282.0,ns,60
bubble,ascending,100,,,195527.0,ns,64
bubble,ascending,100,,,207708.0,ns,68
bubble,ascending,100,,,219928.0,ns,72
bubble,ascending,100,,,252495.0,ns,76
bubble,ascending,100,,,236295.0,ns,80
bubble,ascending,100,,,243946.0,ns,84
bubble,ascending,100,,,250449.0,ns,88
bubble,ascending,100,,,268281.0,ns,92
bubble,ascending,100,,,287686.0,ns,96
bubble,ascending,100,,,305406.0,ns,100
bubble,ascending,100,,,308546.0,ns,104
bubble,ascending,100,,,321104.0,ns,108
bubble,ascending,100,,,326218.0,ns,112
bubble,ascending,100,,,337864.0,ns,116
bubble,ascending,100,,,350486.0,ns,120
bubble,ascending,100,,,361120.0,ns,124
bubble,ascending,100,,,373738.0,ns,128
bubble,ascending,100,,,384421.0,ns,132
bubble,ascending,100,,,396081.0,ns,136
bubble,ascending,100,,,408670.0,ns,140
bubble,ascending,100,,,419300.0,ns,144
bubble,ascending,100,,,431878.0,ns,148
bubble,ascending,100,,,442582.0,ns,152
bubble,ascending,100,,,454260.0,ns,156
bubble,ascending,100,,,478524.0,ns,160
bubble,ascending,100,,,477587.0,ns,164
bubble,ascending,100,,,490316.0,ns,168
bubble,ascending,100,,,500940.0,ns,172
bubble,ascending,100,,,524815.0,ns,176
bubble,ascending,100,,,524123.0,ns,180
bubble,ascending,100,,,537061.0,ns,184
bubble,ascending,100,,,557418.0,ns,188
bubble,ascending,100,,,562366.0,ns,192
bubble,ascending,100,,,579523.0,ns,196
bubble,ascending,100,,,585937.0,ns,200
bubble,ascending,100,,,595010.0,ns,204
bubble,ascending,100,,,618207.0,ns,208
bubble,ascending,100,,,625698.0,ns,212
bubble,ascending,100,,,649155.0,ns,216
bubble,ascending,100,,,660468.0,ns,220
bubble,ascending,100,,,673079.0,ns,224
bubble,ascending,100,,,685914.0,ns,228
bubble,ascending,100,,,687638.0,ns,232
bubble,ascending,100,,,701624.0,ns,236
bubble,ascending,100,,,717757.0,ns,240
bubble,ascending,100,,,731319.0,ns,244
bubble,ascending,100,,,735046.0,ns,248
bubble,ascending,100,,,739400.0,ns,252
bubble,ascending,100,,,754250.0,ns,256
bubble,ascending,100,,,762430.0,ns,260
bubble,ascending,100,,,768636.0,ns,264
bubble,ascending,100,,,785698.0,ns,268
bubble,ascending,100,,,802824.0,ns,272
bubble,ascending,100,,,819506.0,ns,276
bubble,ascending,100,,,840822.0,ns,280
bubble,ascending,100,,,847335.0,ns,284
bubble,ascending,100,,,851249.0,ns,288
bubble,ascending,100,,,856436.0,ns,292
bubble,ascending,100,,,883421.0,ns,296
bubble,ascending,100,,,895348.0,ns,300
bubble,ascending,100,,,911375.0,ns,304
bubble,ascending,100,,,923939.0,ns,308
bubble,ascending,100,,,914563.0,ns,312
bubble,ascending,100,,,921088.0,ns,316
bubble,ascending,100,,,932863.0,ns,320
bubble,ascending,100,,,956725.0,ns,324
bubble,ascending,100,,,955853.0,ns,328
bubble,ascending,100,,,988157.0,ns,332
bubble,ascending,100,,,982021.0,ns,336
bubble,ascending,100,,,1002068.0,ns,340
bubble,ascending,100,,,1008905.0,ns,344
bubble,ascending,100,,,1032936.0,ns,348
bubble,ascending,100,,,1025733.0,ns,352
bubble,ascending,100,,,1037429.0,ns,356
bubble,ascending,100,,,1049341.0,ns,360
bubble,ascending,100,,,1072962.0,ns,364
bubble,ascending,100,,,1088819.0,ns,368
bubble,ascending,100,,,1060157.0,ns,372
bubble,ascending,100,,,1096540.0,ns,376
bubble,ascending,100,,,1107300.0,ns,380
bubble,ascending,100,,,1122199.0,ns,384
bubble,ascending,100,,,1161825.0,ns,388
bubble,ascending,100,,,1154728.0,ns,392
bubble,ascending,100,,,1206398.0,ns,396
bubble,ascending,100,,,1173826.0,ns,400
bubble,ascending,100,,,1186073.0,ns,404
bubble,ascending,100,,,1190256.0,ns,408
bubble,ascending,100,,,1187039.0,ns,412
bubble,ascending,100,,,1236384.0,ns,416
bubble,ascending,100,,,1236435.0,ns,420
bubble,ascending,100,,,1292320.0,ns,424
bubble,ascending,100,,,1261128.0,ns,428
bubble,ascending,100,,,1251380.0,ns,432
bubble,ascending,100,,,1261771.0,ns,436
bubble,ascending,100,,,1294728.0,ns,440
bubble,ascending,100,,,1322120.0,ns,444
bubble,ascending,100,,,1369435.0,ns,448
bubble,ascending,100,,,1342418.0,ns,452
bubble,ascending,100,,,1331695.0,ns,456
bubble,ascending,100,,,1364562.0,ns,460
bubble,ascending,100,,,1348333.0,ns,464
bubble,ascending,100,,,1391927.0,ns,468
bubble,ascending,100,,,1432417.0,ns,472
bubble,ascending,100,,,1398962.0,ns,476
bubble,ascending,100,,,1388563.0,ns,480
bubble,ascending,100,,,1404970.0,ns,484
bubble,ascending,100,,,1491208.0,ns,488
bubble,ascending,100,,,1470232.0,ns,492
bubble,ascending,100,,,1498363.0,ns,496
bubble,ascending,100,,,1434109.0,ns,500
bubble,ascending,100,,,1477670.0,ns,504
bubble,ascending,100,,,1521814.0,ns,508
bubble,ascending,100,,,1484064.0,ns,512
bubble,ascending,100,,,1479726.0,ns,516
bubble,ascending,100,,,1521653.0,ns,520
bubble,ascending,100,,,1510962.0,ns,524
bubble,ascending,100,,,1541570.0,ns,528
bubble,ascending,100,,,1526868.0,ns,532
bubble,ascending,100,,,1555723.0,ns,536
bubble,ascending,100,,,1548910.0,ns,540
bubble,ascending,100,,,1633045.0,ns,544
bubble,ascending,100,,,1598002.0,ns,548
bubble,ascending,100,,,1572040.0,ns,552
bubble,ascending,100,,,1584203.0,ns,556
bubble,ascending,100,,,1675436.0,ns,560
bubble,ascending,100,,,1680909.0,ns,564
bubble,ascending,100,,,1677249.0,ns,568
bubble,ascending,100,,,1658424.0,ns,572
bubble,ascending,100,,,1705095.0,ns,576
bubble,ascending,100,,,1746861.0,ns,580
bubble,ascending,100,,,1685217.0,ns,584
bubble,ascending,100,,,1735350.0,ns,588
bubble,ascending,100,,,1738422.0,ns,592
bubble,ascending,100,,,1770651.0,ns,596
bubble,ascending,100,,,1770284.0,ns,600
bubble,ascending,100,,,1698394.0,ns,604
bubble,ascending,100,,,1778626.0,ns,608
bubble,ascending,100,,,1811912.0,ns,612
bubble,ascending,100,,,1783519.0,ns,616
bubble,ascending,100,,,1848805.0,ns,620
bubble,ascending,100,,,1886294.0,ns,624
bubble,ascending,100,,,1923330.0,ns,628
bubble,ascending,100,,,1864518.0,ns,632
bubble,ascending,100,,,1841166.0,ns,636
bubble,ascending,100,,,1941956.0,ns,640
bubble,ascending,100,,,1932620.0,ns,644
bubble,ascending,100,,,1847583.0,ns,648
bubble,ascending,100,,,1877625.0,ns,652
bubble,ascending,100,,,1948271.0,ns,656
bubble,ascending,100,,,1957568.0,ns,660
bubble,ascending,100,,,1912212.0,ns,664
bubble,ascending,100,,,1950420.0,ns,668
bubble,ascending,100,,,2005740.0,ns,672
bubble,ascending,100,,,1989347.0,ns,676
bubble,ascending,100,,,1951873.0,ns,680
bubble,ascending,100,,,1994379.0,ns,684
bubble,ascending,100,,,2030577.0,ns,688
bubble,ascending,100,,,1961437.0,ns,692
bubble,ascending,100,,,2027990.0,ns,696
bubble,ascending,100,,,2148352.0,ns,700
bubble,ascending,100,,,2140413.0,ns,704
bubble,ascending,100,,,2059113.0,ns,708
bubble,ascending,100,,,2145673.0,ns,712
bubble,ascending,100,,,2040600.0,ns,716
bubble,ascending,100,,,2083177.0,ns,720
bubble,ascending,100,,,2160359.0,ns,724
bubble,ascending,100,,,2178674.0,ns,728
bubble,ascending,100,,,2112585.0,ns,732
bubble,ascending,100,,,2161728.0,ns,736
bubble,ascending,100,,,2266104.0,ns,740
bubble,ascending,100,,,2145537.0,ns,744
bubble,ascending,100,,,2145446.0,ns,748
