group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bubble,ascending,25,,,10042.0,ns,60
bubble,ascending,25,,,19850.0,ns,120
bubble,ascending,25,,,29766.0,ns,180
bubble,ascending,25,,,39674.0,ns,240
bubble,ascending,25,,,53766.0,ns,300
bubble,ascending,25,,,62562.0,ns,360
bubble,ascending,25,,,72092.0,ns,420
bubble,ascending,25,,,79269.0,ns,480
bubble,ascending,25,,,89200.0,ns,540
bubble,ascending,25,,,101066.0,ns,600
bubble,ascending,25,,,115248.0,ns,660
bubble,ascending,25,,,125242.0,ns,720
bubble,ascending,25,,,134493.0,ns,780
bubble,ascending,25,,,145561.0,ns,840
bubble,ascending,25,,,160481.0,ns,900
bubble,ascending,25,,,158494.0,ns,960
bubble,ascending,25,,,168397.0,ns,1020
bubble,ascending,25,,,178295.0,ns,1080
bubble,ascending,25,,,188192.0,ns,1140
bubble,ascending,25,,,198100.0,ns,1200
bubble,ascending,25,,,219785.0,ns,1260
bubble,ascending,25,,,217895.0,ns,1320
bubble,ascending,25,,,227816.0,ns,1380
bubble,ascending,25,,,237688.0,ns,1440
bubble,ascending,25,,,258702.0,ns,1500
bubble,ascending,25,,,261991.0,ns,1560
bubble,ascending,25,,,267416.0,ns,1620
bubble,ascending,25,,,277305.0,ns,1680
bubble,ascending,25,,,296366.0,ns,1740
bubble,ascending,25,,,297123.0,ns,1800
bubble,ascending,25,,,307009.0,ns,1860
bubble,ascending,25,,,322105.0,ns,1920
bubble,ascending,25,,,326811.0,ns,1980
bubble,ascending,25,,,336736.0,ns,2040
bubble,ascending,25,,,347650.0,ns,2100
bubble,ascending,25,,,356528.0,ns,2160
bubble,ascending,25,,,366436.0,ns,2220
bubble,ascending,25,,,384442.0,ns,2280
bubble,ascending,25,,,396585.0,ns,2340
bubble,ascending,25,,,405647.0,ns,2400
bubble,ascending,25,,,406039.0,ns,2460
bubble,ascending,25,,,415932.0,ns,2520
bubble,ascending,25,,,430696.0,ns,2580
bubble,ascending,25,,,446117.0,ns,2640
bubble,ascending,25,,,457113.0,ns,2700
bubble,ascending,25,,,466390.0,ns,2760
bubble,ascending,25,,,486017.0,ns,2820
bubble,ascending,25,,,486650.0,ns,2880
bubble,ascending,25,,,497685.0,ns,2940
bubble,ascending,25,,,506944.0,ns,3000
bubble,ascending,25,,,523246.0,ns,3060
bubble,ascending,25,,,541350.0,ns,3120
bubble,ascending,25,,,544921.0,ns,3180
bubble,ascending,25,,,547482.0,ns,3240
bubble,ascending,25,,,558515.0,ns,3300
bubble,ascending,25,,,567776.0,ns,3360
bubble,ascending,25,,,578797.0,ns,3420
bubble,ascending,25,,,588981.0,ns,3480
bubble,ascending,25,,,592986.0,ns,3540
bubble,ascending,25,,,595435.0,ns,3600
bubble,ascending,25,,,618047.0,ns,3660
bubble,ascending,25,,,629678.0,ns,3720
bubble,ascending,25,,,639544.0,ns,3780
bubble,ascending,25,,,648879.0,ns,3840
bubble,ascending,25,,,659053.0,ns,3900
bubble,ascending,25,,,658699.0,ns,3960
bubble,ascending,25,,,663485.0,ns,4020
bubble,ascending,25,,,682055.0,ns,4080
bubble,ascending,25,,,691880.0,ns,4140
bubble,ascending,25,,,693194.0,ns,4200
bubble,ascending,25,,,728011.0,ns,4260
bubble,ascending,25,,,727782.0,ns,4320
bubble,ascending,25,,,728909.0,ns,4380
bubble,ascending,25,,,747240.0,ns,4440
bubble,ascending,25,,,762075.0,ns,4500
bubble,ascending,25,,,769726.0,ns,4560
bubble,ascending,25,,,781614.0,ns,4620
bubble,ascending,25,,,812005.0,ns,4680
bubble,ascending,25,,,798789.0,ns,4740
bubble,ascending,25,,,793190.0,ns,4800
bubble,ascending,25,,,803060.0,ns,4860
bubble,ascending,25,,,829591.0,ns,4920
bubble,ascending,25,,,834044.0,ns,4980
bubble,ascending,25,,,831828.0,ns,5040
bubble,ascending,25,,,842677.0,ns,5100
bubble,ascending,25,,,852533.0,ns,5160
bubble,ascending,25,,,862893.0,ns,5220
bubble,ascending,25,,,893515.0,ns,5280
bubble,ascending,25,,,889536.0,ns,5340
bubble,ascending,25,,,893487.0,ns,5400
bubble,ascending,25,,,901132.0,ns,5460
bubble,ascending,25,,,912006.0,ns,5520
bubble,ascending,25,,,942742.0,ns,5580
bubble,ascending,25,,,958163.0,ns,5640
bubble,ascending,25,,,972442.0,ns,5700
bubble,ascending,25,,,985791.0,ns,5760
bubble,ascending,25,,,993904.0,ns,5820
bubble,ascending,25,,,994293.0,ns,5880
bubble,ascending,25,,,989227.0,ns,5940
bubble,ascending,25,,,991212.0,ns,6000
bubble,ascending,25,,,1005375.0,ns,6060
bubble,ascending,25,,,1038600.0,ns,6120
bubble,ascending,25,,,1045097.0,ns,6180
bubble,ascending,25,,,1055208.0,ns,6240
bubble,ascending,25,,,1051039.0,ns,6300
bubble,ascending,25,,,1050510.0,ns,6360
bubble,ascending,25,,,1061251.0,ns,6420
bubble,ascending,25,,,1070293.0,ns,6480
bubble,ascending,25,,,1080211.0,ns,6540
