group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bubble,descending,75,,,11165.0,ns,6
bubble,descending,75,,,21184.0,ns,12
bubble,descending,75,,,31072.0,ns,18
bubble,descending,75,,,42893.0,ns,24
bubble,descending,75,,,54796.0,ns,30
bubble,descending,75,,,66742.0,ns,36
bubble,descending,75,,,72880.0,ns,42
bubble,descending,75,,,81004.0,ns,48
bubble,descending,75,,,99670.0,ns,54
bubble,descending,75,,,105158.0,ns,60
bubble,descending,75,,,116735.0,ns,66
bubble,descending,75,,,129745.0,ns,72
bubble,descending,75,,,140633.0,ns,78
bubble,descending,75,,,150879.0,ns,84
bubble,descending,75,,,163292.0,ns,90
bubble,descending,75,,,172154.0,ns,96
bubble,descending,75,,,183372.0,ns,102
bubble,descending,75,,,193497.0,ns,108
bubble,descending,75,,,204663.0,ns,114
bubble,descending,75,,,217070.0,ns,120
bubble,descending,75,,,224405.0,ns,126
bubble,descending,75,,,220775.0,ns,132
bubble,descending,75,,,230078.0,ns,138
bubble,descending,75,,,240754.0,ns,144
bubble,descending,75,,,262197.0,ns,150
bubble,descending,75,,,259974.0,ns,156
bubble,descending,75,,,273537.0,ns,162
bubble,descending,75,,,303673.0,ns,168
bubble,descending,75,,,290670.0,ns,174
bubble,descending,75,,,300877.0,ns,180
bubble,descending,75,,,310005.0,ns,186
bubble,descending,75,,,332031.0,ns,192
bubble,descending,75,,,329815.0,ns,198
bubble,descending,75,,,339946.0,ns,204
bubble,descending,75,,,373376.0,ns,210
bubble,descending,75,,,360674.0,ns,216
bubble,descending,75,,,371077.0,ns,222
bubble,descending,75,,,394901.0,ns,228
bubble,descending,75,,,397072.0,ns,234
bubble,descending,75,,,409955.0,ns,240
bubble,descending,75,,,419830.0,ns,246
bubble,descending,75,,,440898.0,ns,252
bubble,descending,75,,,442329.0,ns,258
bubble,descending,75,,,451544.0,ns,264
bubble,descending,75,,,460670.0,ns,270
bubble,descending,75,,,469867.0,ns,276
bubble,descending,75,,,482596.0,ns,282
bubble,descending,75,,,495665.0,ns,288
bubble,descending,75,,,501716.0,ns,294
bubble,descending,75,,,512087.0,ns,300
bubble,descending,75,,,527170.0,ns,306
