group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bubble,descending,750,,,5059965.0,ns,35
bubble,descending,750,,,5093191.0,ns,35
bubble,descending,750,,,4792642.0,ns,35
bubble,descending,750,,,4597789.0,ns,35
bubble,descending,750,,,5169530.0,ns,35
bubble,descending,750,,,5026304.0,ns,35
bubble,descending,750,,,4689259.0,ns,35
bubble,descending,750,,,4835150.0,ns,35
bubble,descending,750,,,4996910.0,ns,35
bubble,descending,750,,,4574945.0,ns,35
bubble,descending,750,,,5011137.0,ns,35
bubble,descending,750,,,5174865.0,ns,35
bubble,descending,750,,,5079027.0,ns,35
bubble,descending,750,,,5021859.0,ns,35
bubble,descending,750,,,5359328.0,ns,35
bubble,descending,750,,,5333819.0,ns,35
bubble,descending,750,,,4580849.0,ns,35
bubble,descending,750,,,5132387.0,ns,35
bubble,descending,750,,,5307496.0,ns,35
bubble,descending,750,,,4755662.0,ns,35
bubble,descending,750,,,4830201.0,ns,35
bubble,descending,750,,,5504902.0,ns,35
bubble,descending,750,,,4911726.0,ns,35
bubble,descending,750,,,4592125.0,ns,35
bubble,descending,750,,,5039836.0,ns,35
bubble,descending,750,,,5211572.0,ns,35
bubble,descending,750,,,4687905.0,ns,35
bubble,descending,750,,,4887483.0,ns,35
bubble,descending,750,,,5169636.0,ns,35
bubble,descending,750,,,4691131.0,ns,35
bubble,descending,750,,,4690663.0,ns,35
bubble,descending,750,,,5190400.0,ns,35
bubble,descending,750,,,4595565.0,ns,35
bubble,descending,750,,,4635711.0,ns,35
bubble,descending,750,,,4964552.0,ns,35
bubble,descending,750,,,5141880.0,ns,35
bubble,descending,750,,,4633433.0,ns,35
bubble,descending,750,,,4681769.0,ns,35
bubble,descending,750,,,5183450.0,ns,35
bubble,descending,750,,,4967621.0,ns,35
bubble,descending,750,,,4582714.0,ns,35
bubble,descending,750,,,5033511.0,ns,35
bubble,descending,750,,,4797205.0,ns,35
bubble,descending,750,,,4601363.0,ns,35
bubble,descending,750,,,4806528.0,ns,35
bubble,descending,750,,,5211535.0,ns,35
bubble,descending,750,,,4775440.0,ns,35
bubble,descending,750,,,4652644.0,ns,35
bubble,descending,750,,,5107814.0,ns,35
bubble,descending,750,,,4867802.0,ns,35
bubble,descending,750,,,4597334.0,ns,35
bubble,descending,750,,,4916727.0,ns,35
bubble,descending,750,,,5095140.0,ns,35
bubble,descending,750,,,5224300.0,ns,35
bubble,descending,750,,,5211674.0,ns,35
bubble,descending,750,,,5212476.0,ns,35
bubble,descending,750,,,5106693.0,ns,35
bubble,descending,750,,,4739689.0,ns,35
bubble,descending,750,,,5212092.0,ns,35
bubble,descending,750,,,5053782.0,ns,35
bubble,descending,750,,,4818228.0,ns,35
bubble,descending,750,,,5077505.0,ns,35
bubble,descending,750,,,4992753.0,ns,35
bubble,descending,750,,,4664271.0,ns,35
bubble,descending,750,,,4710471.0,ns,35
bubble,descending,750,,,5096240.0,ns,35
bubble,descending,750,,,4724031.0,ns,35
bubble,descending,750,,,4646599.0,ns,35
bubble,descending,750,,,5031421.0,ns,35
bubble,descending,750,,,4796448.0,ns,35
bubble,descending,750,,,4651644.0,ns,35
bubble,descending,750,,,4763520.0,ns,35
bubble,descending,750,,,5212736.0,ns,35
bubble,descending,750,,,4740467.0,ns,35
bubble,descending,750,,,4746300.0,ns,35
bubble,descending,750,,,5172773.0,ns,35
bubble,descending,750,,,5098957.0,ns,35
bubble,descending,750,,,4578824.0,ns,35
bubble,descending,750,,,4813647.0,ns,35
bubble,descending,750,,,5138948.0,ns,35
bubble,descending,750,,,4599023.0,ns,35
bubble,descending,750,,,4638460.0,ns,35
bubble,descending,750,,,5119658.0,ns,35
bubble,descending,750,,,4619118.0,ns,35
bubble,descending,750,,,4674483.0,ns,35
bubble,descending,750,,,4874460.0,ns,35
bubble,descending,750,,,5130742.0,ns,35
bubble,descending,750,,,4577269.0,ns,35
bubble,descending,750,,,4672793.0,ns,35
bubble,descending,750,,,5140489.0,ns,35
bubble,descending,750,,,4634023.0,ns,35
bubble,descending,750,,,4661042.0,ns,35
bubble,descending,750,,,4840221.0,ns,35
bubble,descending,750,,,4949011.0,ns,35
bubble,descending,750,,,4708701.0,ns,35
bubble,descending,750,,,4836107.0,ns,35
bubble,descending,750,,,5213396.0,ns,35
bubble,descending,750,,,4654329.0,ns,35
bubble,descending,750,,,4746816.0,ns,35
bubble,descending,750,,,4949195.0,ns,35
bubble,descending,750,,,5146736.0,ns,35
bubble,descending,750,,,5163379.0,ns,35
bubble,descending,750,,,4847331.0,ns,35
bubble,descending,750,,,5210412.0,ns,35
bubble,descending,750,,,4600308.0,ns,35
bubble,descending,750,,,4651030.0,ns,35
bubble,descending,750,,,4945347.0,ns,35
bubble,descending,750,,,4726699.0,ns,35
bubble,descending,750,,,4659171.0,ns,35
bubble,descending,750,,,4939716.0,ns,35
bubble,descending,750,,,5086869.0,ns,35
bubble,descending,750,,,5212372.0,ns,35
bubble,descending,750,,,5070631.0,ns,35
bubble,descending,750,,,5215150.0,ns,35
bubble,descending,750,,,5008532.0,ns,35
bubble,descending,750,,,4652457.0,ns,35
bubble,descending,750,,,5206172.0,ns,35
bubble,descending,750,,,4964501.0,ns,35
bubble,descending,750,,,4580705.0,ns,35
bubble,descending,750,,,5022990.0,ns,35
bubble,descending,750,,,5270419.0,ns,35
bubble,descending,750,,,4668818.0,ns,35
bubble,descending,750,,,5018540.0,ns,35
bubble,descending,750,,,5296856.0,ns,35
bubble,descending,750,,,4635992.0,ns,35
bubble,descending,750,,,4864257.0,ns,35
bubble,descending,750,,,5317767.0,ns,35
bubble,descending,750,,,4841705.0,ns,35
bubble,descending,750,,,4839127.0,ns,35
bubble,descending,750,,,5219062.0,ns,35
bubble,descending,750,,,5387796.0,ns,35
bubble,descending,750,,,4599731.0,ns,35
bubble,descending,750,,,5037576.0,ns,35
bubble,descending,750,,,5402848.0,ns,35
bubble,descending,750,,,5093909.0,ns,35
bubble,descending,750,,,4652220.0,ns,35
bubble,descending,750,,,5423903.0,ns,35
bubble,descending,750,,,5446503.0,ns,35
bubble,descending,750,,,5014391.0,ns,35
bubble,descending,750,,,5219077.0,ns,35
bubble,descending,750,,,5310580.0,ns,35
bubble,descending,750,,,4985497.0,ns,35
bubble,descending,750,,,4782968.0,ns,35
bubble,descending,750,,,5485665.0,ns,35
bubble,descending,750,,,5048871.0,ns,35
bubble,descending,750,,,4807475.0,ns,35
bubble,descending,750,,,5281942.0,ns,35
bubble,descending,750,,,5179859.0,ns,35
bubble,descending,750,,,5060582.0,ns,35
bubble,descending,750,,,5278561.0,ns,35
bubble,descending,750,,,5317100.0,ns,35
bubble,descending,750,,,5009596.0,ns,35
bubble,descending,750,,,5289129.0,ns,35
bubble,descending,750,,,5343901.0,ns,35
bubble,descending,750,,,4877528.0,ns,35
bubble,descending,750,,,5207608.0,ns,35
bubble,descending,750,,,5515517.0,ns,35
bubble,descending,750,,,4902704.0,ns,35
bubble,descending,750,,,5227290.0,ns,35
bubble,descending,750,,,5555891.0,ns,35
bubble,descending,750,,,5244054.0,ns,35
bubble,descending,750,,,4663498.0,ns,35
bubble,descending,750,,,5482175.0,ns,35
bubble,descending,750,,,5172835.0,ns,35
bubble,descending,750,,,4731527.0,ns,35
bubble,descending,750,,,5287795.0,ns,35
bubble,descending,750,,,5521555.0,ns,35
bubble,descending,750,,,5100829.0,ns,35
bubble,descending,750,,,4994512.0,ns,35
bubble,descending,750,,,5421598.0,ns,35
bubble,descending,750,,,5143067.0,ns,35
bubble,descending,750,,,5204416.0,ns,35
bubble,descending,750,,,5116595.0,ns,35
bubble,descending,750,,,5251076.0,ns,35
bubble,descending,750,,,5081437.0,ns,35
bubble,descending,750,,,5511394.0,ns,35
bubble,descending,750,,,5078536.0,ns,35
bubble,descending,750,,,5392559.0,ns,35
bubble,descending,750,,,5489128.0,ns,35
bubble,descending,750,,,5565052.0,ns,35
bubble,descending,750,,,4774129.0,ns,35
bubble,descending,750,,,5465421.0,ns,35
bubble,descending,750,,,5263447.0,ns,35
bubble,descending,750,,,4806682.0,ns,35
bubble,descending,750,,,4925298.0,ns,35
bubble,descending,750,,,5312566.0,ns,35
bubble,descending,750,,,4890278.0,ns,35
bubble,descending,750,,,4605423.0,ns,35
bubble,descending,750,,,5526867.0,ns,35
bubble,descending,750,,,4901704.0,ns,35
bubble,descending,750,,,4876862.0,ns,35
bubble,descending,750,,,5273434.0,ns,35
bubble,descending,750,,,5212114.0,ns,35
bubble,descending,750,,,5144415.0,ns,35
bubble,descending,750,,,5312648.0,ns,35
bubble,descending,750,,,5325354.0,ns,35
bubble,descending,750,,,4968935.0,ns,35
bubble,descending,750,,,5249854.0,ns,35
bubble,descending,750,,,5319240.0,ns,35
bubble,descending,750,,,4987266.0,ns,35
bubble,descending,750,,,5162153.0,ns,35
bubble,descending,750,,,5544482.0,ns,35
bubble,descending,750,,,4737037.0,ns,35
bubble,descending,750,,,4903021.0,ns,35
bubble,descending,750,,,5528149.0,ns,35
bubble,descending,750,,,5189199.0,ns,35
bubble,descending,750,,,4716533.0,ns,35
bubble,descending,750,,,5507765.0,ns,35
bubble,descending,750,,,5277688.0,ns,35
bubble,descending,750,,,4701019.0,ns,35
bubble,descending,750,,,5287763.0,ns,35
bubble,descending,750,,,5647470.0,ns,35
bubble,descending,750,,,5122666.0,ns,35
bubble,descending,750,,,4925651.0,ns,35
bubble,descending,750,,,5449944.0,ns,35
bubble,descending,750,,,4994075.0,ns,35
bubble,descending,750,,,5022914.0,ns,35
bubble,descending,750,,,5212247.0,ns,35
bubble,descending,750,,,5183339.0,ns,35
bubble,descending,750,,,4983000.0,ns,35
bubble,descending,750,,,5375231.0,ns,35
bubble,descending,750,,,5024331.0,ns,35
bubble,descending,750,,,4971361.0,ns,35
bubble,descending,750,,,5383927.0,ns,35
bubble,descending,750,,,5211490.0,ns,35
bubble,descending,750,,,4793988.0,ns,35
bubble,descending,750,,,5262802.0,ns,35
