group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bubble,random,250,,,28530.0,ns,1
bubble,random,250,,,46030.0,ns,2
bubble,random,250,,,64637.0,ns,3
bubble,random,250,,,80116.0,ns,4
bubble,random,250,,,96414.0,ns,5
bubble,random,250,,,112979.0,ns,6
bubble,random,250,,,129669.0,ns,7
bubble,random,250,,,148155.0,ns,8
bubble,random,250,,,159134.0,ns,9
bubble,random,250,,,180072.0,ns,10
bubble,random,250,,,196897.0,ns,11
bubble,random,250,,,213616.0,ns,12
bubble,random,250,,,231963.0,ns,13
bubble,random,250,,,247708.0,ns,14
bubble,random,250,,,264539.0,ns,15
bubble,random,250,,,283791.0,ns,16
bubble,random,250,,,301762.0,ns,17
bubble,random,250,,,317640.0,ns,18
bubble,random,250,,,333412.0,ns,19
bubble,random,250,,,352479.0,ns,20
bubble,random,250,,,366988.0,ns,21
bubble,random,250,,,383454.0,ns,22
bubble,random,250,,,401783.0,ns,23
bubble,random,250,,,417641.0,ns,24
bubble,random,250,,,435694.0,ns,25
bubble,random,250,,,450946.0,ns,26
bubble,random,250,,,469200.0,ns,27
bubble,random,250,,,486859.0,ns,28
bubble,random,250,,,505605.0,ns,29
bubble,random,250,,,520286.0,ns,30
bubble,random,250,,,495901.0,ns,31
bubble,random,250,,,498092.0,ns,32
bubble,random,250,,,522181.0,ns,33
bubble,random,250,,,535272.0,ns,34
bubble,random,250,,,569965.0,ns,35
bubble,random,250,,,574858.0,ns,36
bubble,random,250,,,595648.0,ns,37
bubble,random,250,,,610521.0,ns,38
bubble,random,250,,,627321.0,ns,39
bubble,random,250,,,649028.0,ns,40
bubble,random,250,,,673381.0,ns,41
bubble,random,250,,,690227.0,ns,42
bubble,random,250,,,702313.0,ns,43
bubble,random,250,,,744755.0,ns,44
bubble,random,250,,,773501.0,ns,45
bubble,random,250,,,780056.0,ns,46
bubble,random,250,,,811085.0,ns,47
bubble,random,250,,,827431.0,ns,48
bubble,random,250,,,844875.0,ns,49
bubble,random,250,,,860124.0,ns,50
bubble,random,250,,,878025.0,ns,51
bubble,random,250,,,843526.0,ns,52
bubble,random,250,,,844729.0,ns,53
bubble,random,250,,,887315.0,ns,54
bubble,random,250,,,945412.0,ns,55
bubble,random,250,,,964031.0,ns,56
bubble,random,250,,,958370.0,ns,57
bubble,random,250,,,919469.0,ns,58
bubble,random,250,,,943661.0,ns,59
bubble,random,250,,,946946.0,ns,60
bubble,random,250,,,988828.0,ns,61
bubble,random,250,,,1006679.0,ns,62
bubble,random,250,,,1022752.0,ns,63
bubble,random,250,,,1058084.0,ns,64
bubble,random,250,,,1112838.0,ns,65
bubble,random,250,,,1134353.0,ns,66
bubble,random,250,,,1117467.0,ns,67
bubble,random,250,,,1081703.0,ns,68
bubble,random,250,,,1112666.0,ns,69
bubble,random,250,,,1128723.0,ns,70
bubble,random,250,,,1147594.0,ns,71
bubble,random,250,,,1167010.0,ns,72
bubble,random,250,,,1160180.0,ns,73
bubble,random,250,,,1222240.0,ns,74
bubble,random,250,,,1197441.0,ns,75
bubble,random,250,,,1252487.0,ns,76
bubble,random,250,,,1256226.0,ns,77
bubble,random,250,,,1325013.0,ns,78
bubble,random,250,,,1354281.0,ns,79
bubble,random,250,,,1373350.0,ns,80
bubble,random,250,,,1388549.0,ns,81
bubble,random,250,,,1406267.0,ns,82
bubble,random,250,,,1372317.0,ns,83
bubble,random,250,,,1305626.0,ns,84
bubble,random,250,,,1352870.0,ns,85
bubble,random,250,,,1359323.0,ns,86
bubble,random,250,,,1389748.0,ns,87
bubble,random,250,,,1411953.0,ns,88
bubble,random,250,,,1425345.0,ns,89
bubble,random,250,,,1472545.0,ns,90
bubble,random,250,,,1566552.0,ns,91
bubble,random,250,,,1575701.0,ns,92
bubble,random,250,,,1591493.0,ns,93
bubble,random,250,,,1610382.0,ns,94
bubble,random,250,,,1627921.0,ns,95
bubble,random,250,,,1524931.0,ns,96
bubble,random,250,,,1539077.0,ns,97
bubble,random,250,,,1531849.0,ns,98
bubble,random,250,,,1548108.0,ns,99
bubble,random,250,,,1642055.0,ns,100
bubble,random,250,,,1731845.0,ns,101
bubble,random,250,,,1747430.0,ns,102
bubble,random,250,,,1765946.0,ns,103
bubble,random,250,,,1781897.0,ns,104
bubble,random,250,,,1797084.0,ns,105
bubble,random,250,,,1815782.0,ns,106
bubble,random,250,,,1786548.0,ns,107
bubble,random,250,,,1698476.0,ns,108
bubble,random,250,,,1675355.0,ns,109
bubble,random,250,,,1888154.0,ns,110
bubble,random,250,,,1902528.0,ns,111
bubble,random,250,,,1918520.0,ns,112
bubble,random,250,,,1934942.0,ns,113
bubble,random,250,,,1801890.0,ns,114
bubble,random,250,,,1803516.0,ns,115
bubble,random,250,,,1767784.0,ns,116
bubble,random,250,,,1917276.0,ns,117
bubble,random,250,,,1946541.0,ns,118
bubble,random,250,,,2011152.0,ns,119
bubble,random,250,,,2052620.0,ns,120
bubble,random,250,,,2071085.0,ns,121
bubble,random,250,,,2086378.0,ns,122
bubble,random,250,,,2105365.0,ns,123
bubble,random,250,,,2090009.0,ns,124
bubble,random,250,,,1949680.0,ns,125
bubble,random,250,,,1961261.0,ns,126
bubble,random,250,,,1976282.0,ns,127
bubble,random,250,,,2075853.0,ns,128
bubble,random,250,,,2193370.0,ns,129
bubble,random,250,,,2017121.0,ns,130
bubble,random,250,,,2039437.0,ns,131
bubble,random,250,,,2125602.0,ns,132
bubble,random,250,,,2120692.0,ns,133
bubble,random,250,,,2164672.0,ns,134
bubble,random,250,,,2313512.0,ns,135
bubble,random,250,,,2328812.0,ns,136
bubble,random,250,,,2342841.0,ns,137
bubble,random,250,,,2225742.0,ns,138
bubble,random,250,,,2190748.0,ns,139
bubble,random,250,,,2207309.0,ns,140
bubble,random,250,,,2283904.0,ns,141
bubble,random,250,,,2262335.0,ns,142
bubble,random,250,,,2394343.0,ns,143
bubble,random,250,,,2415620.0,ns,144
bubble,random,250,,,2304260.0,ns,145
bubble,random,250,,,2356937.0,ns,146
bubble,random,250,,,2358218.0,ns,147
bubble,random,250,,,2453159.0,ns,148
bubble,random,250,,,2506449.0,ns,149
bubble,random,250,,,2566369.0,ns,150
bubble,random,250,,,2582293.0,ns,151
bubble,random,250,,,2600144.0,ns,152
bubble,random,250,,,2616877.0,ns,153
