group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bubble,random,75,,,15141.0,ns,6
bubble,random,75,,,24105.0,ns,12
bubble,random,75,,,33868.0,ns,18
bubble,random,75,,,44294.0,ns,24
bubble,random,75,,,54773.0,ns,30
bubble,random,75,,,65356.0,ns,36
bubble,random,75,,,76359.0,ns,42
bubble,random,75,,,86614.0,ns,48
bubble,random,75,,,98650.0,ns,54
bubble,random,75,,,114627.0,ns,60
bubble,random,75,,,118782.0,ns,66
bubble,random,75,,,139216.0,ns,72
bubble,random,75,,,139774.0,ns,78
bubble,random,75,,,150971.0,ns,84
bubble,random,75,,,161155.0,ns,90
bubble,random,75,,,168503.0,ns,96
bubble,random,75,,,180621.0,ns,102
bubble,random,75,,,180147.0,ns,108
bubble,random,75,,,189930.0,ns,114
bubble,random,75,,,200522.0,ns,120
bubble,random,75,,,210371.0,ns,126
bubble,random,75,,,254253.0,ns,132
bubble,random,75,,,246740.0,ns,138
bubble,random,75,,,257902.0,ns,144
bubble,random,75,,,269934.0,ns,150
bubble,random,75,,,264208.0,ns,156
bubble,random,75,,,269633.0,ns,162
bubble,random,75,,,280045.0,ns,168
bubble,random,75,,,298233.0,ns,174
bubble,random,75,,,322142.0,ns,180
bubble,random,75,,,332187.0,ns,186
bubble,random,75,,,342738.0,ns,192
bubble,random,75,,,329311.0,ns,198
bubble,random,75,,,340284.0,ns,204
bubble,random,75,,,357317.0,ns,210
bubble,random,75,,,370968.0,ns,216
bubble,random,75,,,375085.0,ns,222
bubble,random,75,,,397854.0,ns,228
bubble,random,75,,,398418.0,ns,234
bubble,random,75,,,414569.0,ns,240
bubble,random,75,,,422129.0,ns,246
bubble,random,75,,,428905.0,ns,252
bubble,random,75,,,449498.0,ns,258
bubble,random,75,,,449316.0,ns,264
bubble,random,75,,,468947.0,ns,270
bubble,random,75,,,470981.0,ns,276
bubble,random,75,,,489767.0,ns,282
bubble,random,75,,,491192.0,ns,288
bubble,random,75,,,510330.0,ns,294
bubble,random,75,,,520051.0,ns,300
bubble,random,75,,,540841.0,ns,306
bubble,random,75,,,537539.0,ns,312
bubble,random,75,,,560207.0,ns,318
bubble,random,75,,,565064.0,ns,324
bubble,random,75,,,593011.0,ns,330
bubble,random,75,,,591648.0,ns,336
bubble,random,75,,,603792.0,ns,342
bubble,random,75,,,611955.0,ns,348
bubble,random,75,,,619123.0,ns,354
bubble,random,75,,,630875.0,ns,360
bubble,random,75,,,653019.0,ns,366
bubble,random,75,,,649641.0,ns,372
bubble,random,75,,,668725.0,ns,378
bubble,random,75,,,674601.0,ns,384
bubble,random,75,,,673805.0,ns,390
bubble,random,75,,,686176.0,ns,396
bubble,random,75,,,711630.0,ns,402
bubble,random,75,,,731311.0,ns,408
bubble,random,75,,,721452.0,ns,414
bubble,random,75,,,721555.0,ns,420
bubble,random,75,,,734262.0,ns,426
bubble,random,75,,,749616.0,ns,432
bubble,random,75,,,770248.0,ns,438
bubble,random,75,,,791391.0,ns,444
bubble,random,75,,,781935.0,ns,450
bubble,random,75,,,786877.0,ns,456
bubble,random,75,,,798773.0,ns,462
bubble,random,75,,,811383.0,ns,468
bubble,random,75,,,845727.0,ns,474
bubble,random,75,,,875439.0,ns,480
bubble,random,75,,,862425.0,ns,486
bubble,random,75,,,891050.0,ns,492
bubble,random,75,,,859800.0,ns,498
bubble,random,75,,,861805.0,ns,504
bubble,random,75,,,881314.0,ns,510
bubble,random,75,,,880871.0,ns,516
bubble,random,75,,,888274.0,ns,522
bubble,random,75,,,911259.0,ns,528
bubble,random,75,,,922124.0,ns,534
bubble,random,75,,,933027.0,ns,540
bubble,random,75,,,941671.0,ns,546
bubble,random,75,,,951975.0,ns,552
bubble,random,75,,,957063.0,ns,558
bubble,random,75,,,974407.0,ns,564
bubble,random,75,,,989270.0,ns,570
bubble,random,75,,,991703.0,ns,576
bubble,random,75,,,1018023.0,ns,582
bubble,random,75,,,1022597.0,ns,588
bubble,random,75,,,1075002.0,ns,594
bubble,random,75,,,1059860.0,ns,600
bubble,random,75,,,1041861.0,ns,606
bubble,random,75,,,1053919.0,ns,612
bubble,random,75,,,1053439.0,ns,618
bubble,random,75,,,1063897.0,ns,624
bubble,random,75,,,1084172.0,ns,630
bubble,random,75,,,1106951.0,ns,636
bubble,random,75,,,1120630.0,ns,642
bubble,random,75,,,1136464.0,ns,648
bubble,random,75,,,1122803.0,ns,654
bubble,random,75,,,1136590.0,ns,660
bubble,random,75,,,1142597.0,ns,666
bubble,random,75,,,1154961.0,ns,672
bubble,random,75,,,1176265.0,ns,678
bubble,random,75,,,1204875.0,ns,684
bubble,random,75,,,1216860.0,ns,690
bubble,random,75,,,1239653.0,ns,696
bubble,random,75,,,1254516.0,ns,702
bubble,random,75,,,1265942.0,ns,708
bubble,random,75,,,1228648.0,ns,714
bubble,random,75,,,1246464.0,ns,720
bubble,random,75,,,1275553.0,ns,726
bubble,random,75,,,1257063.0,ns,732
bubble,random,75,,,1273631.0,ns,738
bubble,random,75,,,1271438.0,ns,744
bubble,random,75,,,1277884.0,ns,750
bubble,random,75,,,1309363.0,ns,756
bubble,random,75,,,1309824.0,ns,762
bubble,random,75,,,1315711.0,ns,768
bubble,random,75,,,1341040.0,ns,774
bubble,random,75,,,1343494.0,ns,780
bubble,random,75,,,1358541.0,ns,786
bubble,random,75,,,1372651.0,ns,792
bubble,random,75,,,1366008.0,ns,798
bubble,random,75,,,1380124.0,ns,804
bubble,random,75,,,1411409.0,ns,810
bubble,random,75,,,1389167.0,ns,816
bubble,random,75,,,1414981.0,ns,822
bubble,random,75,,,1433249.0,ns,828
bubble,random,75,,,1422425.0,ns,834
bubble,random,75,,,1446692.0,ns,840
bubble,random,75,,,1442342.0,ns,846
bubble,random,75,,,1463546.0,ns,852
bubble,random,75,,,1461494.0,ns,858
bubble,random,75,,,1500601.0,ns,864
bubble,random,75,,,1494833.0,ns,870
bubble,random,75,,,1536550.0,ns,876
bubble,random,75,,,1524798.0,ns,882
bubble,random,75,,,1542726.0,ns,888
bubble,random,75,,,1534074.0,ns,894
bubble,random,75,,,1545700.0,ns,900
bubble,random,75,,,1540729.0,ns,906
bubble,random,75,,,1566915.0,ns,912
bubble,random,75,,,1589799.0,ns,918
bubble,random,75,,,1592951.0,ns,924
bubble,random,75,,,1614548.0,ns,930
bubble,random,75,,,1609232.0,ns,936
bubble,random,75,,,1639564.0,ns,942
bubble,random,75,,,1634432.0,ns,948
bubble,random,75,,,1631183.0,ns,954
bubble,random,75,,,1636583.0,ns,960
bubble,random,75,,,1659757.0,ns,966
bubble,random,75,,,1666329.0,ns,972
bubble,random,75,,,1700476.0,ns,978
bubble,random,75,,,1692954.0,ns,984
bubble,random,75,,,1685564.0,ns,990
bubble,random,75,,,1743357.0,ns,996
bubble,random,75,,,1728468.0,ns,1002
bubble,random,75,,,1730394.0,ns,1008
bubble,random,75,,,1728639.0,ns,1014
bubble,random,75,,,1748254.0,ns,1020
bubble,random,75,,,1750239.0,ns,1026
bubble,random,75,,,1771377.0,ns,1032
bubble,random,75,,,1779526.0,ns,1038
bubble,random,75,,,1794438.0,ns,1044
bubble,random,75,,,1790319.0,ns,1050
bubble,random,75,,,1800576.0,ns,1056
bubble,random,75,,,1829294.0,ns,1062
bubble,random,75,,,1823372.0,ns,1068
bubble,random,75,,,1829360.0,ns,1074
bubble,random,75,,,1853608.0,ns,1080
bubble,random,75,,,1874487.0,ns,1086
bubble,random,75,,,1871600.0,ns,1092
bubble,random,75,,,1918076.0,ns,1098
bubble,random,75,,,1882491.0,ns,1104
bubble,random,75,,,1902550.0,ns,1110
bubble,random,75,,,1917778.0,ns,1116
bubble,random,75,,,1914457.0,ns,1122
bubble,random,75,,,1946761.0,ns,1128
bubble,random,75,,,1940274.0,ns,1134
bubble,random,75,,,1972072.0,ns,1140
bubble,random,75,,,1984074.0,ns,1146
bubble,random,75,,,1985939.0,ns,1152
bubble,random,75,,,2018800.0,ns,1158
bubble,random,75,,,2078872.0,ns,1164
bubble,random,75,,,2090739.0,ns,1170
bubble,random,75,,,2103656.0,ns,1176
bubble,random,75,,,2117494.0,ns,1182
bubble,random,75,,,2111505.0,ns,1188
bubble,random,75,,,2032020.0,ns,1194
bubble,random,75,,,2058849.0,ns,1200
bubble,random,75,,,2009251.0,ns,1206
bubble,random,75,,,2130225.0,ns,1212
bubble,random,75,,,2040982.0,ns,1218
bubble,random,75,,,2062360.0,ns,1224
bubble,random,75,,,2028438.0,ns,1230
bubble,random,75,,,2113140.0,ns,1236
bubble,random,75,,,2048671.0,ns,1242
bubble,random,75,,,2133534.0,ns,1248
bubble,random,75,,,2096976.0,ns,1254
bubble,random,75,,,2129197.0,ns,1260
bubble,random,75,,,2118316.0,ns,1266
bubble,random,75,,,2115974.0,ns,1272
bubble,random,75,,,2155919.0,ns,1278
bubble,random,75,,,2171584.0,ns,1284
bubble,random,75,,,2198935.0,ns,1290
bubble,random,75,,,2217040.0,ns,1296
bubble,random,75,,,2227522.0,ns,1302
bubble,random,75,,,2234816.0,ns,1308
bubble,random,75,,,2251922.0,ns,1314
bubble,random,75,,,2270926.0,ns,1320
bubble,random,75,,,2269812.0,ns,1326
bubble,random,75,,,2280515.0,ns,1332
bubble,random,75,,,2284510.0,ns,1338
bubble,random,75,,,2312157.0,ns,1344
bubble,random,75,,,2328915.0,ns,1350
bubble,random,75,,,2315455.0,ns,1356
bubble,random,75,,,2342934.0,ns,1362
bubble,random,75,,,2333620.0,ns,1368
bubble,random,75,,,2349019.0,ns,1374
bubble,random,75,,,2347886.0,ns,1380
bubble,random,75,,,2398812.0,ns,1386
bubble,random,75,,,2373541.0,ns,1392
bubble,random,75,,,2348404.0,ns,1398
bubble,random,75,,,2342089.0,ns,1404
bubble,random,75,,,2418480.0,ns,1410
bubble,random,75,,,2431621.0,ns,1416
bubble,random,75,,,2434679.0,ns,1422
bubble,random,75,,,2433158.0,ns,1428
