group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insertion,ascending,1000,,,9758.0,ns,25
insertion,ascending,1000,,,22840.0,ns,50
insertion,ascending,1000,,,32702.0,ns,75
insertion,ascending,1000,,,45073.0,ns,100
insertion,ascending,1000,,,54956.0,ns,125
insertion,ascending,1000,,,58281.0,ns,150
insertion,ascending,1000,,,74250.0,ns,175
insertion,ascending,1000,,,77701.0,ns,200
insertion,ascending,1000,,,87346.0,ns,225
insertion,ascending,1000,,,98564.0,ns,250
insertion,ascending,1000,,,119943.0,ns,275
insertion,ascending,1000,,,130836.0,ns,300
insertion,ascending,1000,,,141633.0,ns,325
insertion,ascending,1000,,,153928.0,ns,350
insertion,ascending,1000,,,163225.0,ns,375
insertion,ascending,1000,,,174433.0,ns,400
insertion,ascending,1000,,,185163.0,ns,425
insertion,ascending,1000,,,196216.0,ns,450
insertion,ascending,1000,,,207121.0,ns,475
insertion,ascending,1000,,,220759.0,ns,500
insertion,ascending,1000,,,228822.0,ns,525
insertion,ascending,1000,,,239846.0,ns,550
insertion,ascending,1000,,,250466.0,ns,575
insertion,ascending,1000,,,262724.0,ns,600
insertion,ascending,1000,,,272351.0,ns,625
insertion,ascending,1000,,,283346.0,ns,650
insertion,ascending,1000,,,294054.0,ns,675
insertion,ascending,1000,,,307396.0,ns,700
insertion,ascending,1000,,,315957.0,ns,725
insertion,ascending,1000,,,326732.0,ns,750
insertion,ascending,1000,,,338838.0,ns,775
insertion,ascending,1000,,,348518.0,ns,800
insertion,ascending,1000,,,463217.0,ns,825
insertion,ascending,1000,,,485360.0,ns,850
insertion,ascending,1000,,,396941.0,ns,875
insertion,ascending,1000,,,470564.0,ns,900
insertion,ascending,1000,,,403360.0,ns,925
insertion,ascending,1000,,,402484.0,ns,950
insertion,ascending,1000,,,378268.0,ns,975
insertion,ascending,1000,,,389449.0,ns,1000
insertion,ascending,1000,,,398080.0,ns,1025
insertion,ascending,1000,,,407962.0,ns,1050
insertion,ascending,1000,,,418704.0,ns,1075
insertion,ascending,1000,,,426753.0,ns,1100
insertion,ascending,1000,,,437881.0,ns,1125
insertion,ascending,1000,,,446477.0,ns,1150
insertion,ascending,1000,,,464586.0,ns,1175
insertion,ascending,1000,,,476090.0,ns,1200
insertion,ascending,1000,,,504833.0,ns,1225
insertion,ascending,1000,,,496329.0,ns,1250
insertion,ascending,1000,,,507312.0,ns,1275
insertion,ascending,1000,,,516098.0,ns,1300
insertion,ascending,1000,,,543296.0,ns,1325
insertion,ascending,1000,,,536119.0,ns,1350
insertion,ascending,1000,,,547040.0,ns,1375
insertion,ascending,1000,,,555731.0,ns,1400
insertion,ascending,1000,,,613016.0,ns,1425
insertion,ascending,1000,,,886748.0,ns,1450
insertion,ascending,1000,,,719672.0,ns,1475
insertion,ascending,1000,,,655320.0,ns,1500
insertion,ascending,1000,,,666497.0,ns,1525
insertion,ascending,1000,,,675975.0,ns,1550
insertion,ascending,1000,,,643693.0,ns,1575
insertion,ascending,1000,,,646508.0,ns,1600
insertion,ascending,1000,,,645198.0,ns,1625
insertion,ascending,1000,,,670229.0,ns,1650
insertion,ascending,1000,,,740489.0,ns,1675
insertion,ascending,1000,,,888193.0,ns,1700
insertion,ascending,1000,,,834472.0,ns,1725
insertion,ascending,1000,,,698832.0,ns,1750
insertion,ascending,1000,,,717273.0,ns,1775
insertion,ascending,1000,,,723668.0,ns,1800
insertion,ascending,1000,,,710028.0,ns,1825
insertion,ascending,1000,,,762716.0,ns,1850
insertion,ascending,1000,,,783494.0,ns,1875
insertion,ascending,1000,,,839466.0,ns,1900
insertion,ascending,1000,,,917422.0,ns,1925
insertion,ascending,1000,,,900157.0,ns,1950
insertion,ascending,1000,,,787476.0,ns,1975
insertion,ascending,1000,,,841388.0,ns,2000
insertion,ascending,1000,,,884195.0,ns,2025
insertion,ascending,1000,,,868788.0,ns,2050
insertion,ascending,1000,,,808333.0,ns,2075
insertion,ascending,1000,,,822032.0,ns,2100
insertion,ascending,1000,,,1006819.0,ns,2125
insertion,ascending,1000,,,992969.0,ns,2150
insertion,ascending,1000,,,864940.0,ns,2175
insertion,ascending,1000,,,889317.0,ns,2200
insertion,ascending,1000,,,897747.0,ns,2225
insertion,ascending,1000,,,908095.0,ns,2250
insertion,ascending,1000,,,954227.0,ns,2275
insertion,ascending,1000,,,1024940.0,ns,2300
insertion,ascending,1000,,,1137265.0,ns,2325
insertion,ascending,1000,,,969345.0,ns,2350
insertion,ascending,1000,,,943454.0,ns,2375
insertion,ascending,1000,,,948490.0,ns,2400
insertion,ascending,1000,,,958945.0,ns,2425
insertion,ascending,1000,,,1014836.0,ns,2450
insertion,ascending,1000,,,1076691.0,ns,2475
insertion,ascending,1000,,,1283073.0,ns,2500
insertion,ascending,1000,,,987852.0,ns,2525
insertion,ascending,1000,,,1000685.0,ns,2550
insertion,ascending,1000,,,1023370.0,ns,2575
insertion,ascending,1000,,,1033680.0,ns,2600
insertion,ascending,1000,,,1044872.0,ns,2625
insertion,ascending,1000,,,1306743.0,ns,2650
insertion,ascending,1000,,,1205796.0,ns,2675
insertion,ascending,1000,,,1092096.0,ns,2700
insertion,ascending,1000,,,1095032.0,ns,2725
insertion,ascending,1000,,,1091852.0,ns,2750
insertion,ascending,1000,,,1107412.0,ns,2775
insertion,ascending,1000,,,1293019.0,ns,2800
insertion,ascending,1000,,,1264596.0,ns,2825
