group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insertion,ascending,75,,,9960.0,ns,270
insertion,ascending,75,,,19691.0,ns,540
insertion,ascending,75,,,29476.0,ns,810
insertion,ascending,75,,,39567.0,ns,1080
insertion,ascending,75,,,53229.0,ns,1350
insertion,ascending,75,,,65260.0,ns,1620
insertion,ascending,75,,,77921.0,ns,1890
insertion,ascending,75,,,86442.0,ns,2160
insertion,ascending,75,,,87862.0,ns,2430
insertion,ascending,75,,,101989.0,ns,2700
insertion,ascending,75,,,119931.0,ns,2970
insertion,ascending,75,,,129994.0,ns,3240
insertion,ascending,75,,,141868.0,ns,3510
insertion,ascending,75,,,150201.0,ns,3780
insertion,ascending,75,,,164417.0,ns,4050
insertion,ascending,75,,,161320.0,ns,4320
insertion,ascending,75,,,168907.0,ns,4590
insertion,ascending,75,,,177282.0,ns,4860
insertion,ascending,75,,,186141.0,ns,5130
insertion,ascending,75,,,197802.0,ns,5400
insertion,ascending,75,,,219367.0,ns,5670
insertion,ascending,75,,,219360.0,ns,5940
insertion,ascending,75,,,227562.0,ns,6210
insertion,ascending,75,,,241388.0,ns,6480
insertion,ascending,75,,,261157.0,ns,6750
insertion,ascending,75,,,270306.0,ns,7020
insertion,ascending,75,,,280161.0,ns,7290
insertion,ascending,75,,,276812.0,ns,7560
insertion,ascending,75,,,295539.0,ns,7830
insertion,ascending,75,,,312816.0,ns,8100
insertion,ascending,75,,,308215.0,ns,8370
insertion,ascending,75,,,325301.0,ns,8640
insertion,ascending,75,,,332245.0,ns,8910
insertion,ascending,75,,,344411.0,ns,9180
insertion,ascending,75,,,355232.0,ns,9450
insertion,ascending,75,,,365484.0,ns,9720
insertion,ascending,75,,,371535.0,ns,9990
insertion,ascending,75,,,400283.0,ns,10260
insertion,ascending,75,,,392657.0,ns,10530
insertion,ascending,75,,,405622.0,ns,10800
insertion,ascending,75,,,429899.0,ns,11070
insertion,ascending,75,,,429371.0,ns,11340
insertion,ascending,75,,,444159.0,ns,11610
insertion,ascending,75,,,451935.0,ns,11880
insertion,ascending,75,,,473154.0,ns,12150
insertion,ascending,75,,,478240.0,ns,12420
insertion,ascending,75,,,474583.0,ns,12690
