group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insertion,descending,500,,,163011.0,ns,50
insertion,descending,500,,,171787.0,ns,100
insertion,descending,500,,,182773.0,ns,150
insertion,descending,500,,,194127.0,ns,200
insertion,descending,500,,,206960.0,ns,250
insertion,descending,500,,,218361.0,ns,300
insertion,descending,500,,,226977.0,ns,350
insertion,descending,500,,,238468.0,ns,400
insertion,descending,500,,,249152.0,ns,450
insertion,descending,500,,,256601.0,ns,500
insertion,descending,500,,,253487.0,ns,550
insertion,descending,500,,,251872.0,ns,600
insertion,descending,500,,,261272.0,ns,650
insertion,descending,500,,,292505.0,ns,700
insertion,descending,500,,,289640.0,ns,750
insertion,descending,500,,,297240.0,ns,800
insertion,descending,500,,,308678.0,ns,850
insertion,descending,500,,,311272.0,ns,900
insertion,descending,500,,,320727.0,ns,950
insertion,descending,500,,,345359.0,ns,1000
insertion,descending,500,,,340868.0,ns,1050
insertion,descending,500,,,350200.0,ns,1100
insertion,descending,500,,,368911.0,ns,1150
insertion,descending,500,,,370545.0,ns,1200
insertion,descending,500,,,380300.0,ns,1250
insertion,descending,500,,,405499.0,ns,1300
insertion,descending,500,,,399379.0,ns,1350
insertion,descending,500,,,425168.0,ns,1400
insertion,descending,500,,,419516.0,ns,1450
insertion,descending,500,,,438443.0,ns,1500
insertion,descending,500,,,457372.0,ns,1550
insertion,descending,500,,,458813.0,ns,1600
insertion,descending,500,,,512301.0,ns,1650
insertion,descending,500,,,528241.0,ns,1700
insertion,descending,500,,,490509.0,ns,1750
insertion,descending,500,,,489155.0,ns,1800
insertion,descending,500,,,500203.0,ns,1850
insertion,descending,500,,,523477.0,ns,1900
insertion,descending,500,,,529643.0,ns,1950
insertion,descending,500,,,541004.0,ns,2000
insertion,descending,500,,,550178.0,ns,2050
insertion,descending,500,,,561523.0,ns,2100
insertion,descending,500,,,570338.0,ns,2150
insertion,descending,500,,,582055.0,ns,2200
insertion,descending,500,,,590028.0,ns,2250
insertion,descending,500,,,601236.0,ns,2300
insertion,descending,500,,,610970.0,ns,2350
insertion,descending,500,,,621782.0,ns,2400
insertion,descending,500,,,646621.0,ns,2450
insertion,descending,500,,,656891.0,ns,2500
insertion,descending,500,,,667238.0,ns,2550
insertion,descending,500,,,669853.0,ns,2600
insertion,descending,500,,,673624.0,ns,2650
insertion,descending,500,,,682053.0,ns,2700
insertion,descending,500,,,706395.0,ns,2750
insertion,descending,500,,,718495.0,ns,2800
insertion,descending,500,,,727627.0,ns,2850
insertion,descending,500,,,739149.0,ns,2900
insertion,descending,500,,,750195.0,ns,2950
insertion,descending,500,,,760148.0,ns,3000
insertion,descending,500,,,771106.0,ns,3050
insertion,descending,500,,,780044.0,ns,3100
insertion,descending,500,,,791736.0,ns,3150
insertion,descending,500,,,802208.0,ns,3200
insertion,descending,500,,,811448.0,ns,3250
insertion,descending,500,,,821801.0,ns,3300
insertion,descending,500,,,830360.0,ns,3350
insertion,descending,500,,,825198.0,ns,3400
insertion,descending,500,,,834485.0,ns,3450
insertion,descending,500,,,854767.0,ns,3500
insertion,descending,500,,,873955.0,ns,3550
insertion,descending,500,,,884824.0,ns,3600
insertion,descending,500,,,893932.0,ns,3650
insertion,descending,500,,,891460.0,ns,3700
insertion,descending,500,,,895274.0,ns,3750
insertion,descending,500,,,894901.0,ns,3800
insertion,descending,500,,,895279.0,ns,3850
insertion,descending,500,,,916518.0,ns,3900
insertion,descending,500,,,935091.0,ns,3950
insertion,descending,500,,,967580.0,ns,4000
insertion,descending,500,,,962243.0,ns,4050
insertion,descending,500,,,972595.0,ns,4100
insertion,descending,500,,,995268.0,ns,4150
