group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insertion,descending,75,,,12177.0,ns,265
insertion,descending,75,,,21649.0,ns,530
insertion,descending,75,,,31080.0,ns,795
insertion,descending,75,,,42560.0,ns,1060
insertion,descending,75,,,55877.0,ns,1325
insertion,descending,75,,,67131.0,ns,1590
insertion,descending,75,,,67960.0,ns,1855
insertion,descending,75,,,78185.0,ns,2120
insertion,descending,75,,,87325.0,ns,2385
insertion,descending,75,,,104141.0,ns,2650
insertion,descending,75,,,119795.0,ns,2915
insertion,descending,75,,,138802.0,ns,3180
insertion,descending,75,,,173800.0,ns,3445
insertion,descending,75,,,152881.0,ns,3710
insertion,descending,75,,,202184.0,ns,3975
insertion,descending,75,,,208779.0,ns,4240
insertion,descending,75,,,195054.0,ns,4505
insertion,descending,75,,,209907.0,ns,4770
insertion,descending,75,,,218302.0,ns,5035
insertion,descending,75,,,260354.0,ns,5300
insertion,descending,75,,,220527.0,ns,5565
insertion,descending,75,,,211673.0,ns,5830
insertion,descending,75,,,221914.0,ns,6095
insertion,descending,75,,,229389.0,ns,6360
insertion,descending,75,,,243366.0,ns,6625
insertion,descending,75,,,260082.0,ns,6890
insertion,descending,75,,,262868.0,ns,7155
insertion,descending,75,,,270805.0,ns,7420
insertion,descending,75,,,290505.0,ns,7685
insertion,descending,75,,,294871.0,ns,7950
insertion,descending,75,,,304586.0,ns,8215
insertion,descending,75,,,314772.0,ns,8480
insertion,descending,75,,,351703.0,ns,8745
insertion,descending,75,,,365201.0,ns,9010
insertion,descending,75,,,344637.0,ns,9275
insertion,descending,75,,,349325.0,ns,9540
insertion,descending,75,,,362971.0,ns,9805
insertion,descending,75,,,371592.0,ns,10070
insertion,descending,75,,,426474.0,ns,10335
insertion,descending,75,,,493525.0,ns,10600
insertion,descending,75,,,468945.0,ns,10865
insertion,descending,75,,,477037.0,ns,11130
insertion,descending,75,,,461269.0,ns,11395
insertion,descending,75,,,472285.0,ns,11660
insertion,descending,75,,,468748.0,ns,11925
insertion,descending,75,,,494693.0,ns,12190
insertion,descending,75,,,476665.0,ns,12455
insertion,descending,75,,,469119.0,ns,12720
insertion,descending,75,,,490867.0,ns,12985
insertion,descending,75,,,488577.0,ns,13250
