group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insertion,random,75,,,11368.0,ns,270
insertion,random,75,,,20944.0,ns,540
insertion,random,75,,,30650.0,ns,810
insertion,random,75,,,40109.0,ns,1080
insertion,random,75,,,55855.0,ns,1350
insertion,random,75,,,59761.0,ns,1620
insertion,random,75,,,68770.0,ns,1890
insertion,random,75,,,79161.0,ns,2160
insertion,random,75,,,88901.0,ns,2430
insertion,random,75,,,98551.0,ns,2700
insertion,random,75,,,119359.0,ns,2970
insertion,random,75,,,131169.0,ns,3240
insertion,random,75,,,143079.0,ns,3510
insertion,random,75,,,153547.0,ns,3780
insertion,random,75,,,163490.0,ns,4050
insertion,random,75,,,173933.0,ns,4320
insertion,random,75,,,185753.0,ns,4590
insertion,random,75,,,195408.0,ns,4860
insertion,random,75,,,209774.0,ns,5130
insertion,random,75,,,202890.0,ns,5400
insertion,random,75,,,205314.0,ns,5670
insertion,random,75,,,214984.0,ns,5940
insertion,random,75,,,224285.0,ns,6210
insertion,random,75,,,247426.0,ns,6480
insertion,random,75,,,243155.0,ns,6750
insertion,random,75,,,253091.0,ns,7020
insertion,random,75,,,286546.0,ns,7290
insertion,random,75,,,273494.0,ns,7560
insertion,random,75,,,281286.0,ns,7830
insertion,random,75,,,297893.0,ns,8100
insertion,random,75,,,318368.0,ns,8370
insertion,random,75,,,317330.0,ns,8640
insertion,random,75,,,325784.0,ns,8910
insertion,random,75,,,339780.0,ns,9180
insertion,random,75,,,342894.0,ns,9450
insertion,random,75,,,357799.0,ns,9720
insertion,random,75,,,367106.0,ns,9990
insertion,random,75,,,377558.0,ns,10260
insertion,random,75,,,383643.0,ns,10530
insertion,random,75,,,396593.0,ns,10800
insertion,random,75,,,407248.0,ns,11070
insertion,random,75,,,417659.0,ns,11340
insertion,random,75,,,425605.0,ns,11610
insertion,random,75,,,436965.0,ns,11880
insertion,random,75,,,447786.0,ns,12150
insertion,random,75,,,464894.0,ns,12420
