group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insertion,random,750,,,181254.0,ns,33
insertion,random,750,,,197321.0,ns,66
insertion,random,750,,,188404.0,ns,99
insertion,random,750,,,214370.0,ns,132
insertion,random,750,,,233516.0,ns,165
insertion,random,750,,,246071.0,ns,198
insertion,random,750,,,254756.0,ns,231
insertion,random,750,,,265492.0,ns,264
insertion,random,750,,,276548.0,ns,297
insertion,random,750,,,285552.0,ns,330
insertion,random,750,,,271778.0,ns,363
insertion,random,750,,,289921.0,ns,396
insertion,random,750,,,285042.0,ns,429
insertion,random,750,,,323055.0,ns,462
insertion,random,750,,,341659.0,ns,495
insertion,random,750,,,352395.0,ns,528
insertion,random,750,,,343628.0,ns,561
insertion,random,750,,,345948.0,ns,594
insertion,random,750,,,342959.0,ns,627
insertion,random,750,,,366958.0,ns,660
insertion,random,750,,,362506.0,ns,693
insertion,random,750,,,372819.0,ns,726
insertion,random,750,,,381561.0,ns,759
insertion,random,750,,,391586.0,ns,792
insertion,random,750,,,402726.0,ns,825
insertion,random,750,,,414057.0,ns,858
insertion,random,750,,,423857.0,ns,891
insertion,random,750,,,430145.0,ns,924
insertion,random,750,,,440034.0,ns,957
insertion,random,750,,,451048.0,ns,990
insertion,random,750,,,474898.0,ns,1023
insertion,random,750,,,489045.0,ns,1056
insertion,random,750,,,489262.0,ns,1089
insertion,random,750,,,500196.0,ns,1122
insertion,random,750,,,508591.0,ns,1155
insertion,random,750,,,520050.0,ns,1188
insertion,random,750,,,528261.0,ns,1221
insertion,random,750,,,539790.0,ns,1254
insertion,random,750,,,549681.0,ns,1287
insertion,random,750,,,558647.0,ns,1320
insertion,random,750,,,569300.0,ns,1353
insertion,random,750,,,577790.0,ns,1386
insertion,random,750,,,588876.0,ns,1419
insertion,random,750,,,597335.0,ns,1452
insertion,random,750,,,609207.0,ns,1485
insertion,random,750,,,618402.0,ns,1518
insertion,random,750,,,627263.0,ns,1551
insertion,random,750,,,638878.0,ns,1584
insertion,random,750,,,653029.0,ns,1617
insertion,random,750,,,658447.0,ns,1650
insertion,random,750,,,704815.0,ns,1683
insertion,random,750,,,737121.0,ns,1716
insertion,random,750,,,687232.0,ns,1749
insertion,random,750,,,712160.0,ns,1782
insertion,random,750,,,719301.0,ns,1815
insertion,random,750,,,718190.0,ns,1848
insertion,random,750,,,739745.0,ns,1881
insertion,random,750,,,789101.0,ns,1914
insertion,random,750,,,799256.0,ns,1947
insertion,random,750,,,769383.0,ns,1980
insertion,random,750,,,764976.0,ns,2013
insertion,random,750,,,777150.0,ns,2046
insertion,random,750,,,786057.0,ns,2079
insertion,random,750,,,796716.0,ns,2112
insertion,random,750,,,806128.0,ns,2145
insertion,random,750,,,815532.0,ns,2178
insertion,random,750,,,825677.0,ns,2211
insertion,random,750,,,847999.0,ns,2244
insertion,random,750,,,852713.0,ns,2277
insertion,random,750,,,855493.0,ns,2310
insertion,random,750,,,871128.0,ns,2343
insertion,random,750,,,894969.0,ns,2376
insertion,random,750,,,906679.0,ns,2409
insertion,random,750,,,897729.0,ns,2442
insertion,random,750,,,904795.0,ns,2475
