group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merge,ascending,10,,,9675.0,ns,40
merge,ascending,10,,,19056.0,ns,80
merge,ascending,10,,,28632.0,ns,120
merge,ascending,10,,,38049.0,ns,160
merge,ascending,10,,,47306.0,ns,200
merge,ascending,10,,,57141.0,ns,240
merge,ascending,10,,,66525.0,ns,280
merge,ascending,10,,,78068.0,ns,320
merge,ascending,10,,,84892.0,ns,360
merge,ascending,10,,,94244.0,ns,400
merge,ascending,10,,,103344.0,ns,440
merge,ascending,10,,,116740.0,ns,480
merge,ascending,10,,,122418.0,ns,520
merge,ascending,10,,,132034.0,ns,560
merge,ascending,10,,,142167.0,ns,600
merge,ascending,10,,,151142.0,ns,640
merge,ascending,10,,,161258.0,ns,680
merge,ascending,10,,,172039.0,ns,720
merge,ascending,10,,,179115.0,ns,760
merge,ascending,10,,,189992.0,ns,800
merge,ascending,10,,,199149.0,ns,840
merge,ascending,10,,,211868.0,ns,880
merge,ascending,10,,,217003.0,ns,920
merge,ascending,10,,,227139.0,ns,960
merge,ascending,10,,,235186.0,ns,1000
merge,ascending,10,,,246076.0,ns,1040
merge,ascending,10,,,256616.0,ns,1080
merge,ascending,10,,,263817.0,ns,1120
merge,ascending,10,,,272206.0,ns,1160
merge,ascending,10,,,284782.0,ns,1200
merge,ascending,10,,,293544.0,ns,1240
merge,ascending,10,,,301952.0,ns,1280
merge,ascending,10,,,312702.0,ns,1320
merge,ascending,10,,,322802.0,ns,1360
merge,ascending,10,,,330235.0,ns,1400
merge,ascending,10,,,340971.0,ns,1440
merge,ascending,10,,,359158.0,ns,1480
merge,ascending,10,,,355795.0,ns,1520
merge,ascending,10,,,369147.0,ns,1560
merge,ascending,10,,,384298.0,ns,1600
merge,ascending,10,,,387085.0,ns,1640
merge,ascending,10,,,396258.0,ns,1680
merge,ascending,10,,,396879.0,ns,1720
merge,ascending,10,,,417604.0,ns,1760
merge,ascending,10,,,455970.0,ns,1800
merge,ascending,10,,,465126.0,ns,1840
