group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merge,ascending,1000,,,5077191.0,ns,134
merge,ascending,1000,,,4850122.0,ns,134
merge,ascending,1000,,,4953473.0,ns,134
merge,ascending,1000,,,4821957.0,ns,134
merge,ascending,1000,,,4929036.0,ns,134
merge,ascending,1000,,,4924801.0,ns,134
merge,ascending,1000,,,4870717.0,ns,134
merge,ascending,1000,,,4881584.0,ns,134
merge,ascending,1000,,,4929369.0,ns,134
merge,ascending,1000,,,4975312.0,ns,134
merge,ascending,1000,,,4890234.0,ns,134
merge,ascending,1000,,,5077903.0,ns,134
merge,ascending,1000,,,5085990.0,ns,134
merge,ascending,1000,,,4818392.0,ns,134
merge,ascending,1000,,,4938362.0,ns,134
merge,ascending,1000,,,4982036.0,ns,134
merge,ascending,1000,,,5051113.0,ns,134
merge,ascending,1000,,,5093920.0,ns,134
merge,ascending,1000,,,5031566.0,ns,134
merge,ascending,1000,,,4988262.0,ns,134
merge,ascending,1000,,,4893573.0,ns,134
merge,ascending,1000,,,4991212.0,ns,134
merge,ascending,1000,,,4831635.0,ns,134
merge,ascending,1000,,,5067806.0,ns,134
merge,ascending,1000,,,4835542.0,ns,134
merge,ascending,1000,,,4842619.0,ns,134
merge,ascending,1000,,,4938481.0,ns,134
merge,ascending,1000,,,4908341.0,ns,134
merge,ascending,1000,,,4893840.0,ns,134
merge,ascending,1000,,,4873576.0,ns,134
merge,ascending,1000,,,4966064.0,ns,134
merge,ascending,1000,,,4962456.0,ns,134
merge,ascending,1000,,,4988032.0,ns,134
merge,ascending,1000,,,4893478.0,ns,134
merge,ascending,1000,,,4893461.0,ns,134
merge,ascending,1000,,,4987258.0,ns,134
merge,ascending,1000,,,4986448.0,ns,134
merge,ascending,1000,,,4858693.0,ns,134
merge,ascending,1000,,,5000285.0,ns,134
merge,ascending,1000,,,4781340.0,ns,134
merge,ascending,1000,,,5006217.0,ns,134
merge,ascending,1000,,,4866943.0,ns,134
merge,ascending,1000,,,4820339.0,ns,134
merge,ascending,1000,,,4842865.0,ns,134
merge,ascending,1000,,,4798548.0,ns,134
merge,ascending,1000,,,4812229.0,ns,134
merge,ascending,1000,,,4989350.0,ns,134
merge,ascending,1000,,,4941561.0,ns,134
merge,ascending,1000,,,5034459.0,ns,134
merge,ascending,1000,,,4781296.0,ns,134
merge,ascending,1000,,,5259348.0,ns,134
merge,ascending,1000,,,4831216.0,ns,134
merge,ascending,1000,,,4846886.0,ns,134
merge,ascending,1000,,,4904437.0,ns,134
merge,ascending,1000,,,5017500.0,ns,134
merge,ascending,1000,,,4974578.0,ns,134
merge,ascending,1000,,,4931525.0,ns,134
merge,ascending,1000,,,4919165.0,ns,134
merge,ascending,1000,,,4937273.0,ns,134
merge,ascending,1000,,,4976477.0,ns,134
merge,ascending,1000,,,4879164.0,ns,134
merge,ascending,1000,,,5105390.0,ns,134
merge,ascending,1000,,,4962390.0,ns,134
merge,ascending,1000,,,4917443.0,ns,134
merge,ascending,1000,,,4791370.0,ns,134
merge,ascending,1000,,,4964465.0,ns,134
merge,ascending,1000,,,4959523.0,ns,134
merge,ascending,1000,,,4796106.0,ns,134
merge,ascending,1000,,,4850182.0,ns,134
merge,ascending,1000,,,4939278.0,ns,134
merge,ascending,1000,,,4999390.0,ns,134
merge,ascending,1000,,,4781044.0,ns,134
merge,ascending,1000,,,4934208.0,ns,134
merge,ascending,1000,,,4908342.0,ns,134
merge,ascending,1000,,,5032744.0,ns,134
merge,ascending,1000,,,4845682.0,ns,134
merge,ascending,1000,,,5008796.0,ns,134
merge,ascending,1000,,,5047456.0,ns,134
merge,ascending,1000,,,4978680.0,ns,134
merge,ascending,1000,,,4803405.0,ns,134
merge,ascending,1000,,,4931679.0,ns,134
merge,ascending,1000,,,4890058.0,ns,134
merge,ascending,1000,,,4897231.0,ns,134
merge,ascending,1000,,,4944370.0,ns,134
merge,ascending,1000,,,5017034.0,ns,134
merge,ascending,1000,,,4954842.0,ns,134
merge,ascending,1000,,,5009036.0,ns,134
merge,ascending,1000,,,4982890.0,ns,134
merge,ascending,1000,,,4986137.0,ns,134
merge,ascending,1000,,,4879778.0,ns,134
merge,ascending,1000,,,4948088.0,ns,134
merge,ascending,1000,,,5215441.0,ns,134
merge,ascending,1000,,,5025316.0,ns,134
merge,ascending,1000,,,5081150.0,ns,134
merge,ascending,1000,,,4888585.0,ns,134
merge,ascending,1000,,,4848008.0,ns,134
merge,ascending,1000,,,4893251.0,ns,134
merge,ascending,1000,,,5143274.0,ns,134
merge,ascending,1000,,,4795019.0,ns,134
merge,ascending,1000,,,4963473.0,ns,134
merge,ascending,1000,,,5169530.0,ns,134
merge,ascending,1000,,,4976628.0,ns,134
merge,ascending,1000,,,5013493.0,ns,134
merge,ascending,1000,,,4874563.0,ns,134
merge,ascending,1000,,,5015444.0,ns,134
merge,ascending,1000,,,5093695.0,ns,134
