group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merge,descending,100,,,13056.0,ns,4
merge,descending,100,,,25328.0,ns,8
merge,descending,100,,,36800.0,ns,12
merge,descending,100,,,50548.0,ns,16
merge,descending,100,,,61976.0,ns,20
merge,descending,100,,,78320.0,ns,24
merge,descending,100,,,94068.0,ns,28
merge,descending,100,,,106711.0,ns,32
merge,descending,100,,,119897.0,ns,36
merge,descending,100,,,133193.0,ns,40
merge,descending,100,,,147786.0,ns,44
merge,descending,100,,,160180.0,ns,48
merge,descending,100,,,173629.0,ns,52
merge,descending,100,,,180597.0,ns,56
merge,descending,100,,,187213.0,ns,60
merge,descending,100,,,199268.0,ns,64
merge,descending,100,,,211348.0,ns,68
merge,descending,100,,,221760.0,ns,72
merge,descending,100,,,240853.0,ns,76
merge,descending,100,,,252806.0,ns,80
merge,descending,100,,,277858.0,ns,84
merge,descending,100,,,293330.0,ns,88
merge,descending,100,,,288007.0,ns,92
merge,descending,100,,,301405.0,ns,96
merge,descending,100,,,312664.0,ns,100
merge,descending,100,,,328460.0,ns,104
merge,descending,100,,,338370.0,ns,108
merge,descending,100,,,346021.0,ns,112
merge,descending,100,,,364200.0,ns,116
merge,descending,100,,,369779.0,ns,120
merge,descending,100,,,384250.0,ns,124
merge,descending,100,,,407490.0,ns,128
merge,descending,100,,,427722.0,ns,132
merge,descending,100,,,412356.0,ns,136
merge,descending,100,,,414256.0,ns,140
merge,descending,100,,,430518.0,ns,144
merge,descending,100,,,456389.0,ns,148
merge,descending,100,,,471739.0,ns,152
merge,descending,100,,,462930.0,ns,156
merge,descending,100,,,471134.0,ns,160
merge,descending,100,,,491660.0,ns,164
merge,descending,100,,,498988.0,ns,168
merge,descending,100,,,534626.0,ns,172
merge,descending,100,,,543866.0,ns,176
merge,descending,100,,,545667.0,ns,180
merge,descending,100,,,579883.0,ns,184
merge,descending,100,,,634305.0,ns,188
merge,descending,100,,,612599.0,ns,192
merge,descending,100,,,607591.0,ns,196
merge,descending,100,,,609202.0,ns,200
merge,descending,100,,,623391.0,ns,204
merge,descending,100,,,622773.0,ns,208
merge,descending,100,,,648664.0,ns,212
merge,descending,100,,,672102.0,ns,216
merge,descending,100,,,693228.0,ns,220
merge,descending,100,,,684288.0,ns,224
merge,descending,100,,,703480.0,ns,228
merge,descending,100,,,737333.0,ns,232
merge,descending,100,,,754876.0,ns,236
merge,descending,100,,,712906.0,ns,240
merge,descending,100,,,739462.0,ns,244
merge,descending,100,,,773349.0,ns,248
merge,descending,100,,,819409.0,ns,252
merge,descending,100,,,798188.0,ns,256
merge,descending,100,,,801464.0,ns,260
merge,descending,100,,,815631.0,ns,264
merge,descending,100,,,850399.0,ns,268
merge,descending,100,,,851147.0,ns,272
merge,descending,100,,,866788.0,ns,276
merge,descending,100,,,855391.0,ns,280
merge,descending,100,,,892309.0,ns,284
merge,descending,100,,,900636.0,ns,288
merge,descending,100,,,910940.0,ns,292
merge,descending,100,,,911962.0,ns,296
merge,descending,100,,,930146.0,ns,300
merge,descending,100,,,933556.0,ns,304
merge,descending,100,,,941272.0,ns,308
merge,descending,100,,,971339.0,ns,312
merge,descending,100,,,965762.0,ns,316
merge,descending,100,,,1025783.0,ns,320
merge,descending,100,,,981410.0,ns,324
merge,descending,100,,,1039920.0,ns,328
merge,descending,100,,,1046221.0,ns,332
merge,descending,100,,,1060256.0,ns,336
merge,descending,100,,,1067626.0,ns,340
merge,descending,100,,,1088493.0,ns,344
merge,descending,100,,,1124112.0,ns,348
merge,descending,100,,,1171056.0,ns,352
merge,descending,100,,,1119454.0,ns,356
merge,descending,100,,,1121135.0,ns,360
merge,descending,100,,,1131518.0,ns,364
merge,descending,100,,,1151752.0,ns,368
merge,descending,100,,,1195327.0,ns,372
merge,descending,100,,,1142012.0,ns,376
merge,descending,100,,,1152796.0,ns,380
merge,descending,100,,,1188292.0,ns,384
merge,descending,100,,,1244927.0,ns,388
merge,descending,100,,,1218529.0,ns,392
merge,descending,100,,,1189487.0,ns,396
merge,descending,100,,,1200592.0,ns,400
merge,descending,100,,,1233200.0,ns,404
merge,descending,100,,,1221582.0,ns,408
merge,descending,100,,,1273897.0,ns,412
merge,descending,100,,,1306206.0,ns,416
merge,descending,100,,,1310444.0,ns,420
merge,descending,100,,,1309103.0,ns,424
merge,descending,100,,,1326797.0,ns,428
merge,descending,100,,,1357984.0,ns,432
merge,descending,100,,,1306315.0,ns,436
merge,descending,100,,,1329111.0,ns,440
merge,descending,100,,,1352670.0,ns,444
merge,descending,100,,,1390908.0,ns,448
merge,descending,100,,,1471878.0,ns,452
merge,descending,100,,,1404953.0,ns,456
merge,descending,100,,,1422401.0,ns,460
merge,descending,100,,,1501537.0,ns,464
merge,descending,100,,,1480749.0,ns,468
merge,descending,100,,,1463047.0,ns,472
merge,descending,100,,,1455187.0,ns,476
merge,descending,100,,,1505818.0,ns,480
merge,descending,100,,,1522200.0,ns,484
merge,descending,100,,,1540999.0,ns,488
merge,descending,100,,,1520331.0,ns,492
merge,descending,100,,,1574335.0,ns,496
merge,descending,100,,,1536173.0,ns,500
merge,descending,100,,,1553467.0,ns,504
merge,descending,100,,,1581744.0,ns,508
merge,descending,100,,,1607749.0,ns,512
merge,descending,100,,,1622795.0,ns,516
merge,descending,100,,,1617811.0,ns,520
merge,descending,100,,,1621451.0,ns,524
merge,descending,100,,,1693904.0,ns,528
merge,descending,100,,,1643368.0,ns,532
merge,descending,100,,,1702235.0,ns,536
merge,descending,100,,,1712371.0,ns,540
merge,descending,100,,,1677168.0,ns,544
merge,descending,100,,,1803107.0,ns,548
merge,descending,100,,,1752695.0,ns,552
merge,descending,100,,,1754705.0,ns,556
merge,descending,100,,,1693946.0,ns,560
merge,descending,100,,,1767865.0,ns,564
merge,descending,100,,,1717514.0,ns,568
merge,descending,100,,,1773886.0,ns,572
merge,descending,100,,,1798398.0,ns,576
