group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merge,descending,500,,,17417.0,ns,1
merge,descending,500,,,32746.0,ns,2
merge,descending,500,,,51437.0,ns,3
merge,descending,500,,,68255.0,ns,4
merge,descending,500,,,85221.0,ns,5
merge,descending,500,,,96948.0,ns,6
merge,descending,500,,,113433.0,ns,7
merge,descending,500,,,127683.0,ns,8
merge,descending,500,,,151027.0,ns,9
merge,descending,500,,,167510.0,ns,10
merge,descending,500,,,185074.0,ns,11
merge,descending,500,,,200961.0,ns,12
merge,descending,500,,,212376.0,ns,13
merge,descending,500,,,229957.0,ns,14
merge,descending,500,,,246441.0,ns,15
merge,descending,500,,,265065.0,ns,16
merge,descending,500,,,281078.0,ns,17
merge,descending,500,,,297715.0,ns,18
merge,descending,500,,,313947.0,ns,19
merge,descending,500,,,324962.0,ns,20
merge,descending,500,,,337411.0,ns,21
merge,descending,500,,,357888.0,ns,22
merge,descending,500,,,379214.0,ns,23
merge,descending,500,,,393138.0,ns,24
merge,descending,500,,,417965.0,ns,25
merge,descending,500,,,418920.0,ns,26
merge,descending,500,,,445228.0,ns,27
merge,descending,500,,,464950.0,ns,28
merge,descending,500,,,485740.0,ns,29
merge,descending,500,,,506846.0,ns,30
merge,descending,500,,,527118.0,ns,31
merge,descending,500,,,565431.0,ns,32
merge,descending,500,,,561202.0,ns,33
merge,descending,500,,,604119.0,ns,34
merge,descending,500,,,601548.0,ns,35
merge,descending,500,,,583389.0,ns,36
merge,descending,500,,,633022.0,ns,37
merge,descending,500,,,669742.0,ns,38
merge,descending,500,,,658810.0,ns,39
merge,descending,500,,,656762.0,ns,40
merge,descending,500,,,662976.0,ns,41
merge,descending,500,,,706851.0,ns,42
merge,descending,500,,,768747.0,ns,43
merge,descending,500,,,738776.0,ns,44
merge,descending,500,,,748548.0,ns,45
merge,descending,500,,,777859.0,ns,46
merge,descending,500,,,771453.0,ns,47
merge,descending,500,,,788812.0,ns,48
merge,descending,500,,,808200.0,ns,49
merge,descending,500,,,842954.0,ns,50
merge,descending,500,,,874818.0,ns,51
merge,descending,500,,,897680.0,ns,52
merge,descending,500,,,897251.0,ns,53
merge,descending,500,,,887940.0,ns,54
merge,descending,500,,,981799.0,ns,55
merge,descending,500,,,976973.0,ns,56
merge,descending,500,,,957024.0,ns,57
merge,descending,500,,,1037601.0,ns,58
merge,descending,500,,,1007630.0,ns,59
merge,descending,500,,,1036602.0,ns,60
merge,descending,500,,,1021100.0,ns,61
merge,descending,500,,,1042329.0,ns,62
merge,descending,500,,,1033823.0,ns,63
merge,descending,500,,,1077720.0,ns,64
merge,descending,500,,,1112718.0,ns,65
merge,descending,500,,,1187436.0,ns,66
merge,descending,500,,,1093258.0,ns,67
merge,descending,500,,,1103715.0,ns,68
merge,descending,500,,,1114213.0,ns,69
merge,descending,500,,,1127585.0,ns,70
merge,descending,500,,,1203439.0,ns,71
merge,descending,500,,,1214137.0,ns,72
merge,descending,500,,,1285329.0,ns,73
merge,descending,500,,,1318501.0,ns,74
merge,descending,500,,,1324039.0,ns,75
merge,descending,500,,,1311420.0,ns,76
merge,descending,500,,,1289292.0,ns,77
merge,descending,500,,,1285912.0,ns,78
merge,descending,500,,,1309582.0,ns,79
merge,descending,500,,,1311343.0,ns,80
merge,descending,500,,,1316885.0,ns,81
merge,descending,500,,,1387315.0,ns,82
merge,descending,500,,,1391914.0,ns,83
merge,descending,500,,,1365705.0,ns,84
merge,descending,500,,,1406378.0,ns,85
merge,descending,500,,,1432394.0,ns,86
merge,descending,500,,,1434514.0,ns,87
merge,descending,500,,,1471656.0,ns,88
merge,descending,500,,,1536700.0,ns,89
merge,descending,500,,,1520242.0,ns,90
merge,descending,500,,,1483379.0,ns,91
merge,descending,500,,,1577135.0,ns,92
merge,descending,500,,,1552210.0,ns,93
merge,descending,500,,,1651482.0,ns,94
merge,descending,500,,,1568546.0,ns,95
merge,descending,500,,,1601886.0,ns,96
merge,descending,500,,,1628868.0,ns,97
merge,descending,500,,,1621836.0,ns,98
merge,descending,500,,,1667405.0,ns,99
merge,descending,500,,,1651017.0,ns,100
merge,descending,500,,,1706402.0,ns,101
merge,descending,500,,,1681531.0,ns,102
merge,descending,500,,,1721910.0,ns,103
merge,descending,500,,,1869385.0,ns,104
merge,descending,500,,,1778032.0,ns,105
merge,descending,500,,,1752746.0,ns,106
merge,descending,500,,,1723727.0,ns,107
merge,descending,500,,,1763015.0,ns,108
merge,descending,500,,,1881853.0,ns,109
merge,descending,500,,,1856655.0,ns,110
merge,descending,500,,,1817619.0,ns,111
merge,descending,500,,,1879791.0,ns,112
