group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merge,random,100,,,15432.0,ns,4
merge,random,100,,,25630.0,ns,8
merge,random,100,,,36310.0,ns,12
merge,random,100,,,49032.0,ns,16
merge,random,100,,,60489.0,ns,20
merge,random,100,,,72189.0,ns,24
merge,random,100,,,83647.0,ns,28
merge,random,100,,,96382.0,ns,32
merge,random,100,,,107465.0,ns,36
merge,random,100,,,120011.0,ns,40
merge,random,100,,,138091.0,ns,44
merge,random,100,,,150783.0,ns,48
merge,random,100,,,162022.0,ns,52
merge,random,100,,,172721.0,ns,56
merge,random,100,,,187881.0,ns,60
merge,random,100,,,202120.0,ns,64
merge,random,100,,,212710.0,ns,68
merge,random,100,,,218126.0,ns,72
merge,random,100,,,230849.0,ns,76
merge,random,100,,,244349.0,ns,80
merge,random,100,,,256960.0,ns,84
merge,random,100,,,255658.0,ns,88
merge,random,100,,,280780.0,ns,92
merge,random,100,,,293186.0,ns,96
merge,random,100,,,306552.0,ns,100
merge,random,100,,,329958.0,ns,104
merge,random,100,,,369931.0,ns,108
merge,random,100,,,403590.0,ns,112
merge,random,100,,,440343.0,ns,116
merge,random,100,,,369392.0,ns,120
merge,random,100,,,374423.0,ns,124
merge,random,100,,,383815.0,ns,128
merge,random,100,,,440200.0,ns,132
merge,random,100,,,458095.0,ns,136
merge,random,100,,,468243.0,ns,140
merge,random,100,,,477166.0,ns,144
merge,random,100,,,479418.0,ns,148
merge,random,100,,,457116.0,ns,152
merge,random,100,,,484059.0,ns,156
merge,random,100,,,506600.0,ns,160
merge,random,100,,,524382.0,ns,164
merge,random,100,,,562264.0,ns,168
merge,random,100,,,629379.0,ns,172
merge,random,100,,,618972.0,ns,176
merge,random,100,,,579702.0,ns,180
merge,random,100,,,583456.0,ns,184
merge,random,100,,,556073.0,ns,188
merge,random,100,,,574065.0,ns,192
merge,random,100,,,589363.0,ns,196
merge,random,100,,,609348.0,ns,200
merge,random,100,,,620510.0,ns,204
merge,random,100,,,627000.0,ns,208
merge,random,100,,,651724.0,ns,212
merge,random,100,,,720195.0,ns,216
merge,random,100,,,802170.0,ns,220
merge,random,100,,,701520.0,ns,224
merge,random,100,,,716731.0,ns,228
merge,random,100,,,731478.0,ns,232
merge,random,100,,,710826.0,ns,236
merge,random,100,,,781703.0,ns,240
merge,random,100,,,757975.0,ns,244
merge,random,100,,,760900.0,ns,248
merge,random,100,,,801206.0,ns,252
merge,random,100,,,956333.0,ns,256
merge,random,100,,,824234.0,ns,260
merge,random,100,,,801051.0,ns,264
merge,random,100,,,823448.0,ns,268
merge,random,100,,,853379.0,ns,272
merge,random,100,,,865747.0,ns,276
merge,random,100,,,887838.0,ns,280
merge,random,100,,,897525.0,ns,284
merge,random,100,,,1088524.0,ns,288
merge,random,100,,,927515.0,ns,292
merge,random,100,,,956822.0,ns,296
merge,random,100,,,927183.0,ns,300
merge,random,100,,,956334.0,ns,304
merge,random,100,,,962887.0,ns,308
merge,random,100,,,954639.0,ns,312
merge,random,100,,,1099769.0,ns,316
merge,random,100,,,1053337.0,ns,320
merge,random,100,,,1050019.0,ns,324
merge,random,100,,,1017816.0,ns,328
merge,random,100,,,1050516.0,ns,332
merge,random,100,,,1043661.0,ns,336
merge,random,100,,,1059624.0,ns,340
merge,random,100,,,1243997.0,ns,344
merge,random,100,,,1055371.0,ns,348
merge,random,100,,,1093346.0,ns,352
merge,random,100,,,1094063.0,ns,356
merge,random,100,,,1109637.0,ns,360
merge,random,100,,,1120086.0,ns,364
merge,random,100,,,1342769.0,ns,368
merge,random,100,,,1249524.0,ns,372
merge,random,100,,,1201914.0,ns,376
merge,random,100,,,1202127.0,ns,380
merge,random,100,,,1161320.0,ns,384
merge,random,100,,,1200929.0,ns,388
merge,random,100,,,1400928.0,ns,392
merge,random,100,,,1246803.0,ns,396
merge,random,100,,,1222716.0,ns,400
merge,random,100,,,1248122.0,ns,404
merge,random,100,,,1239897.0,ns,408
merge,random,100,,,1348629.0,ns,412
merge,random,100,,,1417143.0,ns,416
merge,random,100,,,1372533.0,ns,420
merge,random,100,,,1364068.0,ns,424
merge,random,100,,,1312889.0,ns,428
merge,random,100,,,1405444.0,ns,432
merge,random,100,,,1538169.0,ns,436
merge,random,100,,,1352253.0,ns,440
merge,random,100,,,1369466.0,ns,444
merge,random,100,,,1440549.0,ns,448
merge,random,100,,,1529145.0,ns,452
merge,random,100,,,1509092.0,ns,456
merge,random,100,,,1424057.0,ns,460
merge,random,100,,,1428490.0,ns,464
merge,random,100,,,1478640.0,ns,468
merge,random,100,,,1637306.0,ns,472
merge,random,100,,,1495432.0,ns,476
merge,random,100,,,1521062.0,ns,480
merge,random,100,,,1449440.0,ns,484
merge,random,100,,,1600097.0,ns,488
merge,random,100,,,1712060.0,ns,492
merge,random,100,,,1532240.0,ns,496
merge,random,100,,,1577677.0,ns,500
merge,random,100,,,1529941.0,ns,504
merge,random,100,,,1726350.0,ns,508
merge,random,100,,,1607422.0,ns,512
merge,random,100,,,1601494.0,ns,516
merge,random,100,,,1590781.0,ns,520
merge,random,100,,,1696015.0,ns,524
merge,random,100,,,1818672.0,ns,528
merge,random,100,,,1619797.0,ns,532
merge,random,100,,,1626172.0,ns,536
merge,random,100,,,1667593.0,ns,540
merge,random,100,,,1843490.0,ns,544
merge,random,100,,,1663885.0,ns,548
merge,random,100,,,1718845.0,ns,552
merge,random,100,,,1736853.0,ns,556
merge,random,100,,,1944412.0,ns,560
merge,random,100,,,1780377.0,ns,564
merge,random,100,,,1813250.0,ns,568
merge,random,100,,,1881727.0,ns,572
merge,random,100,,,1963626.0,ns,576
merge,random,100,,,1876742.0,ns,580
merge,random,100,,,1844751.0,ns,584
merge,random,100,,,2156315.0,ns,588
merge,random,100,,,1850092.0,ns,592
merge,random,100,,,1835175.0,ns,596
merge,random,100,,,1919598.0,ns,600
merge,random,100,,,2153179.0,ns,604
merge,random,100,,,1950087.0,ns,608
merge,random,100,,,1914449.0,ns,612
merge,random,100,,,2039780.0,ns,616
merge,random,100,,,2002424.0,ns,620
merge,random,100,,,1964575.0,ns,624
