group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quick,ascending,1000,,,5136721.0,ns,14
quick,ascending,1000,,,5050963.0,ns,14
quick,ascending,1000,,,5332688.0,ns,14
quick,ascending,1000,,,5288161.0,ns,14
quick,ascending,1000,,,4833664.0,ns,14
quick,ascending,1000,,,4984100.0,ns,14
quick,ascending,1000,,,5272631.0,ns,14
quick,ascending,1000,,,4974099.0,ns,14
quick,ascending,1000,,,4994570.0,ns,14
quick,ascending,1000,,,5109708.0,ns,14
quick,ascending,1000,,,5177521.0,ns,14
quick,ascending,1000,,,5061723.0,ns,14
quick,ascending,1000,,,4895870.0,ns,14
quick,ascending,1000,,,5209004.0,ns,14
quick,ascending,1000,,,4832901.0,ns,14
quick,ascending,1000,,,5045622.0,ns,14
quick,ascending,1000,,,5115910.0,ns,14
quick,ascending,1000,,,4865702.0,ns,14
quick,ascending,1000,,,4986025.0,ns,14
quick,ascending,1000,,,5032233.0,ns,14
quick,ascending,1000,,,5037668.0,ns,14
quick,ascending,1000,,,5049358.0,ns,14
quick,ascending,1000,,,5019746.0,ns,14
quick,ascending,1000,,,5225054.0,ns,14
quick,ascending,1000,,,4843985.0,ns,14
quick,ascending,1000,,,4883252.0,ns,14
quick,ascending,1000,,,5123848.0,ns,14
quick,ascending,1000,,,4938279.0,ns,14
quick,ascending,1000,,,4931869.0,ns,14
quick,ascending,1000,,,5123383.0,ns,14
quick,ascending,1000,,,5114612.0,ns,14
quick,ascending,1000,,,4837504.0,ns,14
quick,ascending,1000,,,4907381.0,ns,14
quick,ascending,1000,,,5207882.0,ns,14
quick,ascending,1000,,,4946795.0,ns,14
quick,ascending,1000,,,5056220.0,ns,14
quick,ascending,1000,,,5071063.0,ns,14
quick,ascending,1000,,,4889462.0,ns,14
quick,ascending,1000,,,4986954.0,ns,14
quick,ascending,1000,,,5068154.0,ns,14
quick,ascending,1000,,,5054724.0,ns,14
quick,ascending,1000,,,4886907.0,ns,14
quick,ascending,1000,,,5091139.0,ns,14
quick,ascending,1000,,,5063303.0,ns,14
quick,ascending,1000,,,4887598.0,ns,14
quick,ascending,1000,,,4941101.0,ns,14
quick,ascending,1000,,,5111833.0,ns,14
quick,ascending,1000,,,4947887.0,ns,14
quick,ascending,1000,,,5107833.0,ns,14
quick,ascending,1000,,,5065527.0,ns,14
quick,ascending,1000,,,5082877.0,ns,14
quick,ascending,1000,,,4884680.0,ns,14
quick,ascending,1000,,,4908985.0,ns,14
quick,ascending,1000,,,5058201.0,ns,14
quick,ascending,1000,,,4963989.0,ns,14
quick,ascending,1000,,,5028110.0,ns,14
