group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quick,ascending,250,,,5019939.0,ns,197
quick,ascending,250,,,4715034.0,ns,197
quick,ascending,250,,,4739047.0,ns,197
quick,ascending,250,,,4837028.0,ns,197
quick,ascending,250,,,5083931.0,ns,197
quick,ascending,250,,,4733365.0,ns,197
quick,ascending,250,,,5196967.0,ns,197
quick,ascending,250,,,4945115.0,ns,197
quick,ascending,250,,,4672105.0,ns,197
quick,ascending,250,,,4955961.0,ns,197
quick,ascending,250,,,4957301.0,ns,197
quick,ascending,250,,,4740331.0,ns,197
quick,ascending,250,,,5048523.0,ns,197
quick,ascending,250,,,5110606.0,ns,197
quick,ascending,250,,,5227826.0,ns,197
quick,ascending,250,,,5003839.0,ns,197
quick,ascending,250,,,5084240.0,ns,197
quick,ascending,250,,,5037241.0,ns,197
quick,ascending,250,,,4807001.0,ns,197
quick,ascending,250,,,5388602.0,ns,197
quick,ascending,250,,,5360232.0,ns,197
quick,ascending,250,,,4757026.0,ns,197
quick,ascending,250,,,4813270.0,ns,197
quick,ascending,250,,,5027007.0,ns,197
quick,ascending,250,,,5013805.0,ns,197
quick,ascending,250,,,4643257.0,ns,197
quick,ascending,250,,,5063003.0,ns,197
quick,ascending,250,,,5037966.0,ns,197
quick,ascending,250,,,5008270.0,ns,197
quick,ascending,250,,,5210325.0,ns,197
quick,ascending,250,,,5008873.0,ns,197
quick,ascending,250,,,5348762.0,ns,197
quick,ascending,250,,,5144880.0,ns,197
quick,ascending,250,,,5015127.0,ns,197
quick,ascending,250,,,5180568.0,ns,197
quick,ascending,250,,,5062543.0,ns,197
quick,ascending,250,,,4701983.0,ns,197
quick,ascending,250,,,5057033.0,ns,197
quick,ascending,250,,,5133271.0,ns,197
quick,ascending,250,,,4652648.0,ns,197
quick,ascending,250,,,5169590.0,ns,197
quick,ascending,250,,,5068950.0,ns,197
quick,ascending,250,,,4686644.0,ns,197
quick,ascending,250,,,5126701.0,ns,197
quick,ascending,250,,,5298085.0,ns,197
quick,ascending,250,,,5386342.0,ns,197
quick,ascending,250,,,5118596.0,ns,197
quick,ascending,250,,,5354320.0,ns,197
quick,ascending,250,,,5265953.0,ns,197
quick,ascending,250,,,4723380.0,ns,197
quick,ascending,250,,,4766652.0,ns,197
quick,ascending,250,,,5146296.0,ns,197
quick,ascending,250,,,5144925.0,ns,197
quick,ascending,250,,,5147599.0,ns,197
quick,ascending,250,,,5147455.0,ns,197
quick,ascending,250,,,5145947.0,ns,197
quick,ascending,250,,,5148412.0,ns,197
quick,ascending,250,,,5095889.0,ns,197
quick,ascending,250,,,4714272.0,ns,197
quick,ascending,250,,,4653502.0,ns,197
quick,ascending,250,,,4816847.0,ns,197
quick,ascending,250,,,4629442.0,ns,197
quick,ascending,250,,,4597755.0,ns,197
quick,ascending,250,,,4855293.0,ns,197
quick,ascending,250,,,4861124.0,ns,197
quick,ascending,250,,,5024328.0,ns,197
quick,ascending,250,,,4701361.0,ns,197
quick,ascending,250,,,4657385.0,ns,197
quick,ascending,250,,,4635298.0,ns,197
quick,ascending,250,,,4734901.0,ns,197
quick,ascending,250,,,4798389.0,ns,197
quick,ascending,250,,,4816230.0,ns,197
quick,ascending,250,,,4692172.0,ns,197
quick,ascending,250,,,4773345.0,ns,197
quick,ascending,250,,,4770662.0,ns,197
quick,ascending,250,,,4728935.0,ns,197
quick,ascending,250,,,4761153.0,ns,197
quick,ascending,250,,,4757067.0,ns,197
quick,ascending,250,,,4781685.0,ns,197
quick,ascending,250,,,4716687.0,ns,197
quick,ascending,250,,,4726653.0,ns,197
quick,ascending,250,,,4806426.0,ns,197
quick,ascending,250,,,4823223.0,ns,197
quick,ascending,250,,,4697923.0,ns,197
quick,ascending,250,,,4711843.0,ns,197
quick,ascending,250,,,4744384.0,ns,197
quick,ascending,250,,,4719990.0,ns,197
quick,ascending,250,,,4707558.0,ns,197
quick,ascending,250,,,4718750.0,ns,197
quick,ascending,250,,,4764520.0,ns,197
quick,ascending,250,,,4781380.0,ns,197
quick,ascending,250,,,4701541.0,ns,197
quick,ascending,250,,,4775717.0,ns,197
quick,ascending,250,,,5018073.0,ns,197
quick,ascending,250,,,4829573.0,ns,197
quick,ascending,250,,,4955450.0,ns,197
quick,ascending,250,,,4907654.0,ns,197
quick,ascending,250,,,4679138.0,ns,197
quick,ascending,250,,,5004265.0,ns,197
quick,ascending,250,,,4989480.0,ns,197
quick,ascending,250,,,4722840.0,ns,197
quick,ascending,250,,,5094352.0,ns,197
quick,ascending,250,,,5031098.0,ns,197
quick,ascending,250,,,4873277.0,ns,197
quick,ascending,250,,,4803178.0,ns,197
quick,ascending,250,,,4972002.0,ns,197
quick,ascending,250,,,4924740.0,ns,197
quick,ascending,250,,,4756809.0,ns,197
quick,ascending,250,,,4974135.0,ns,197
quick,ascending,250,,,4981183.0,ns,197
quick,ascending,250,,,4871084.0,ns,197
quick,ascending,250,,,5009435.0,ns,197
quick,ascending,250,,,5052763.0,ns,197
quick,ascending,250,,,4574125.0,ns,197
quick,ascending,250,,,5035992.0,ns,197
quick,ascending,250,,,5021628.0,ns,197
quick,ascending,250,,,4971025.0,ns,197
quick,ascending,250,,,4749896.0,ns,197
quick,ascending,250,,,5060284.0,ns,197
quick,ascending,250,,,5252935.0,ns,197
quick,ascending,250,,,4852713.0,ns,197
quick,ascending,250,,,5279242.0,ns,197
quick,ascending,250,,,4934750.0,ns,197
quick,ascending,250,,,5408501.0,ns,197
quick,ascending,250,,,5017533.0,ns,197
quick,ascending,250,,,4960684.0,ns,197
quick,ascending,250,,,4932460.0,ns,197
quick,ascending,250,,,4708022.0,ns,197
quick,ascending,250,,,5097440.0,ns,197
quick,ascending,250,,,4983475.0,ns,197
quick,ascending,250,,,5003601.0,ns,197
quick,ascending,250,,,4758706.0,ns,197
quick,ascending,250,,,5003766.0,ns,197
quick,ascending,250,,,4811233.0,ns,197
quick,ascending,250,,,4895215.0,ns,197
quick,ascending,250,,,5005707.0,ns,197
quick,ascending,250,,,5021122.0,ns,197
quick,ascending,250,,,4964519.0,ns,197
quick,ascending,250,,,5134314.0,ns,197
quick,ascending,250,,,4958191.0,ns,197
quick,ascending,250,,,4938946.0,ns,197
quick,ascending,250,,,5057151.0,ns,197
quick,ascending,250,,,4877983.0,ns,197
quick,ascending,250,,,4993467.0,ns,197
quick,ascending,250,,,4804369.0,ns,197
quick,ascending,250,,,5020216.0,ns,197
quick,ascending,250,,,4976136.0,ns,197
quick,ascending,250,,,4690985.0,ns,197
quick,ascending,250,,,5150099.0,ns,197
quick,ascending,250,,,5006953.0,ns,197
quick,ascending,250,,,4804738.0,ns,197
quick,ascending,250,,,5010061.0,ns,197
quick,ascending,250,,,4946939.0,ns,197
quick,ascending,250,,,4871069.0,ns,197
quick,ascending,250,,,4794600.0,ns,197
quick,ascending,250,,,4931971.0,ns,197
quick,ascending,250,,,5020447.0,ns,197
quick,ascending,250,,,4721167.0,ns,197
quick,ascending,250,,,4902872.0,ns,197
quick,ascending,250,,,5011484.0,ns,197
quick,ascending,250,,,4711095.0,ns,197
quick,ascending,250,,,4964096.0,ns,197
quick,ascending,250,,,4737741.0,ns,197
quick,ascending,250,,,4744214.0,ns,197
quick,ascending,250,,,4653752.0,ns,197
quick,ascending,250,,,4809351.0,ns,197
quick,ascending,250,,,4743386.0,ns,197
quick,ascending,250,,,4737193.0,ns,197
quick,ascending,250,,,4732741.0,ns,197
quick,ascending,250,,,4704260.0,ns,197
quick,ascending,250,,,4698127.0,ns,197
quick,ascending,250,,,4682843.0,ns,197
quick,ascending,250,,,4678329.0,ns,197
quick,ascending,250,,,4748072.0,ns,197
quick,ascending,250,,,4714941.0,ns,197
quick,ascending,250,,,4951522.0,ns,197
quick,ascending,250,,,5138250.0,ns,197
quick,ascending,250,,,5131078.0,ns,197
quick,ascending,250,,,4978766.0,ns,197
