group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quick,descending,25,,,10898.0,ns,33
quick,descending,25,,,21515.0,ns,66
quick,descending,25,,,32444.0,ns,99
quick,descending,25,,,44232.0,ns,132
quick,descending,25,,,53543.0,ns,165
quick,descending,25,,,59117.0,ns,198
quick,descending,25,,,68860.0,ns,231
quick,descending,25,,,78238.0,ns,264
quick,descending,25,,,94646.0,ns,297
quick,descending,25,,,107991.0,ns,330
quick,descending,25,,,118064.0,ns,363
quick,descending,25,,,129563.0,ns,396
quick,descending,25,,,139669.0,ns,429
quick,descending,25,,,152678.0,ns,462
quick,descending,25,,,150141.0,ns,495
quick,descending,25,,,157708.0,ns,528
quick,descending,25,,,167224.0,ns,561
quick,descending,25,,,177474.0,ns,594
quick,descending,25,,,186901.0,ns,627
quick,descending,25,,,202043.0,ns,660
quick,descending,25,,,216553.0,ns,693
quick,descending,25,,,216286.0,ns,726
quick,descending,25,,,226070.0,ns,759
quick,descending,25,,,235989.0,ns,792
quick,descending,25,,,252534.0,ns,825
quick,descending,25,,,255574.0,ns,858
quick,descending,25,,,287367.0,ns,891
quick,descending,25,,,302737.0,ns,924
quick,descending,25,,,311101.0,ns,957
quick,descending,25,,,323656.0,ns,990
quick,descending,25,,,336557.0,ns,1023
quick,descending,25,,,321704.0,ns,1056
quick,descending,25,,,329844.0,ns,1089
quick,descending,25,,,345449.0,ns,1122
quick,descending,25,,,360895.0,ns,1155
quick,descending,25,,,361954.0,ns,1188
quick,descending,25,,,379614.0,ns,1221
quick,descending,25,,,376154.0,ns,1254
quick,descending,25,,,383303.0,ns,1287
quick,descending,25,,,420478.0,ns,1320
quick,descending,25,,,425878.0,ns,1353
quick,descending,25,,,443024.0,ns,1386
quick,descending,25,,,423750.0,ns,1419
quick,descending,25,,,445811.0,ns,1452
quick,descending,25,,,456881.0,ns,1485
quick,descending,25,,,459124.0,ns,1518
quick,descending,25,,,473998.0,ns,1551
quick,descending,25,,,482741.0,ns,1584
quick,descending,25,,,482443.0,ns,1617
quick,descending,25,,,492454.0,ns,1650
quick,descending,25,,,502995.0,ns,1683
quick,descending,25,,,510940.0,ns,1716
quick,descending,25,,,523528.0,ns,1749
quick,descending,25,,,549284.0,ns,1782
quick,descending,25,,,567492.0,ns,1815
quick,descending,25,,,595926.0,ns,1848
quick,descending,25,,,574737.0,ns,1881
quick,descending,25,,,580533.0,ns,1914
quick,descending,25,,,583105.0,ns,1947
quick,descending,25,,,609012.0,ns,1980
quick,descending,25,,,629428.0,ns,2013
quick,descending,25,,,638581.0,ns,2046
quick,descending,25,,,646334.0,ns,2079
quick,descending,25,,,656136.0,ns,2112
quick,descending,25,,,670224.0,ns,2145
quick,descending,25,,,668964.0,ns,2178
quick,descending,25,,,680619.0,ns,2211
quick,descending,25,,,696075.0,ns,2244
quick,descending,25,,,729076.0,ns,2277
quick,descending,25,,,753912.0,ns,2310
quick,descending,25,,,754819.0,ns,2343
quick,descending,25,,,724589.0,ns,2376
quick,descending,25,,,732877.0,ns,2409
quick,descending,25,,,746109.0,ns,2442
quick,descending,25,,,754073.0,ns,2475
quick,descending,25,,,765263.0,ns,2508
quick,descending,25,,,763345.0,ns,2541
quick,descending,25,,,774281.0,ns,2574
quick,descending,25,,,792452.0,ns,2607
quick,descending,25,,,804137.0,ns,2640
quick,descending,25,,,827013.0,ns,2673
quick,descending,25,,,829849.0,ns,2706
quick,descending,25,,,840509.0,ns,2739
quick,descending,25,,,848103.0,ns,2772
quick,descending,25,,,881107.0,ns,2805
