group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quick,descending,50,,,13483.0,ns,8
quick,descending,50,,,24960.0,ns,16
quick,descending,50,,,35063.0,ns,24
quick,descending,50,,,45863.0,ns,32
quick,descending,50,,,60320.0,ns,40
quick,descending,50,,,69060.0,ns,48
quick,descending,50,,,80100.0,ns,56
quick,descending,50,,,90396.0,ns,64
quick,descending,50,,,101696.0,ns,72
quick,descending,50,,,113134.0,ns,80
quick,descending,50,,,124376.0,ns,88
quick,descending,50,,,135771.0,ns,96
quick,descending,50,,,147076.0,ns,104
quick,descending,50,,,159844.0,ns,112
quick,descending,50,,,169513.0,ns,120
quick,descending,50,,,181075.0,ns,128
quick,descending,50,,,195601.0,ns,136
quick,descending,50,,,181548.0,ns,144
quick,descending,50,,,219886.0,ns,152
quick,descending,50,,,262643.0,ns,160
quick,descending,50,,,252929.0,ns,168
quick,descending,50,,,282914.0,ns,176
quick,descending,50,,,280733.0,ns,184
quick,descending,50,,,247930.0,ns,192
quick,descending,50,,,258125.0,ns,200
quick,descending,50,,,264065.0,ns,208
quick,descending,50,,,289058.0,ns,216
quick,descending,50,,,283405.0,ns,224
quick,descending,50,,,293102.0,ns,232
quick,descending,50,,,307914.0,ns,240
quick,descending,50,,,351177.0,ns,248
quick,descending,50,,,362980.0,ns,256
quick,descending,50,,,376069.0,ns,264
quick,descending,50,,,368245.0,ns,272
quick,descending,50,,,370237.0,ns,280
quick,descending,50,,,373383.0,ns,288
quick,descending,50,,,374741.0,ns,296
quick,descending,50,,,386768.0,ns,304
quick,descending,50,,,405492.0,ns,312
quick,descending,50,,,415345.0,ns,320
quick,descending,50,,,486457.0,ns,328
quick,descending,50,,,498258.0,ns,336
quick,descending,50,,,476762.0,ns,344
quick,descending,50,,,444743.0,ns,352
quick,descending,50,,,471335.0,ns,360
quick,descending,50,,,465058.0,ns,368
quick,descending,50,,,476541.0,ns,376
quick,descending,50,,,485933.0,ns,384
quick,descending,50,,,506004.0,ns,392
quick,descending,50,,,517452.0,ns,400
quick,descending,50,,,528768.0,ns,408
quick,descending,50,,,538126.0,ns,416
quick,descending,50,,,561200.0,ns,424
quick,descending,50,,,570060.0,ns,432
quick,descending,50,,,654661.0,ns,440
quick,descending,50,,,678966.0,ns,448
quick,descending,50,,,594958.0,ns,456
quick,descending,50,,,634971.0,ns,464
quick,descending,50,,,614685.0,ns,472
quick,descending,50,,,625331.0,ns,480
quick,descending,50,,,653384.0,ns,488
quick,descending,50,,,656870.0,ns,496
quick,descending,50,,,676716.0,ns,504
quick,descending,50,,,727600.0,ns,512
quick,descending,50,,,791847.0,ns,520
quick,descending,50,,,805483.0,ns,528
quick,descending,50,,,756503.0,ns,536
quick,descending,50,,,726219.0,ns,544
quick,descending,50,,,699482.0,ns,552
quick,descending,50,,,708798.0,ns,560
quick,descending,50,,,742500.0,ns,568
quick,descending,50,,,746065.0,ns,576
quick,descending,50,,,766887.0,ns,584
quick,descending,50,,,775540.0,ns,592
quick,descending,50,,,891951.0,ns,600
quick,descending,50,,,840325.0,ns,608
quick,descending,50,,,803014.0,ns,616
quick,descending,50,,,813601.0,ns,624
quick,descending,50,,,823375.0,ns,632
quick,descending,50,,,908457.0,ns,640
quick,descending,50,,,838028.0,ns,648
quick,descending,50,,,858684.0,ns,656
quick,descending,50,,,964188.0,ns,664
quick,descending,50,,,999686.0,ns,672
quick,descending,50,,,924941.0,ns,680
quick,descending,50,,,924803.0,ns,688
quick,descending,50,,,927072.0,ns,696
quick,descending,50,,,909672.0,ns,704
quick,descending,50,,,914086.0,ns,712
quick,descending,50,,,951699.0,ns,720
quick,descending,50,,,1094798.0,ns,728
quick,descending,50,,,1020361.0,ns,736
quick,descending,50,,,965717.0,ns,744
quick,descending,50,,,984919.0,ns,752
quick,descending,50,,,998537.0,ns,760
quick,descending,50,,,1019494.0,ns,768
quick,descending,50,,,1105010.0,ns,776
quick,descending,50,,,1138668.0,ns,784
quick,descending,50,,,1053917.0,ns,792
quick,descending,50,,,1019096.0,ns,800
quick,descending,50,,,1029923.0,ns,808
quick,descending,50,,,1032984.0,ns,816
quick,descending,50,,,1052427.0,ns,824
quick,descending,50,,,1152702.0,ns,832
quick,descending,50,,,1220908.0,ns,840
quick,descending,50,,,1073968.0,ns,848
quick,descending,50,,,1085278.0,ns,856
quick,descending,50,,,1112305.0,ns,864
quick,descending,50,,,1112963.0,ns,872
quick,descending,50,,,1174580.0,ns,880
quick,descending,50,,,1290594.0,ns,888
quick,descending,50,,,1273475.0,ns,896
quick,descending,50,,,1279352.0,ns,904
quick,descending,50,,,1296082.0,ns,912
quick,descending,50,,,1322286.0,ns,920
quick,descending,50,,,1439405.0,ns,928
quick,descending,50,,,1245985.0,ns,936
quick,descending,50,,,1210769.0,ns,944
quick,descending,50,,,1222753.0,ns,952
quick,descending,50,,,1250654.0,ns,960
quick,descending,50,,,1302064.0,ns,968
quick,descending,50,,,1417725.0,ns,976
quick,descending,50,,,1290625.0,ns,984
quick,descending,50,,,1274653.0,ns,992
quick,descending,50,,,1381289.0,ns,1000
quick,descending,50,,,1365974.0,ns,1008
