group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quick,random,100,,,10632.0,ns,3
quick,random,100,,,23929.0,ns,6
quick,random,100,,,36967.0,ns,9
quick,random,100,,,52540.0,ns,12
quick,random,100,,,68641.0,ns,15
quick,random,100,,,83159.0,ns,18
quick,random,100,,,97772.0,ns,21
quick,random,100,,,112300.0,ns,24
quick,random,100,,,128494.0,ns,27
quick,random,100,,,142491.0,ns,30
quick,random,100,,,150975.0,ns,33
quick,random,100,,,172467.0,ns,36
quick,random,100,,,183152.0,ns,39
quick,random,100,,,186390.0,ns,42
quick,random,100,,,204632.0,ns,45
quick,random,100,,,222311.0,ns,48
quick,random,100,,,226626.0,ns,51
quick,random,100,,,240312.0,ns,54
quick,random,100,,,253762.0,ns,57
quick,random,100,,,286821.0,ns,60
quick,random,100,,,301865.0,ns,63
quick,random,100,,,316360.0,ns,66
quick,random,100,,,329608.0,ns,69
quick,random,100,,,346855.0,ns,72
quick,random,100,,,360544.0,ns,75
quick,random,100,,,376790.0,ns,78
quick,random,100,,,389595.0,ns,81
quick,random,100,,,404614.0,ns,84
quick,random,100,,,393781.0,ns,87
quick,random,100,,,422477.0,ns,90
quick,random,100,,,428127.0,ns,93
quick,random,100,,,430231.0,ns,96
quick,random,100,,,454638.0,ns,99
quick,random,100,,,458211.0,ns,102
quick,random,100,,,482873.0,ns,105
quick,random,100,,,485272.0,ns,108
quick,random,100,,,510631.0,ns,111
quick,random,100,,,512587.0,ns,114
quick,random,100,,,550319.0,ns,117
quick,random,100,,,579046.0,ns,120
quick,random,100,,,582957.0,ns,123
quick,random,100,,,574400.0,ns,126
quick,random,100,,,581170.0,ns,129
quick,random,100,,,594842.0,ns,132
quick,random,100,,,612370.0,ns,135
quick,random,100,,,674527.0,ns,138
quick,random,100,,,650622.0,ns,141
quick,random,100,,,663278.0,ns,144
quick,random,100,,,677975.0,ns,147
quick,random,100,,,676359.0,ns,150
quick,random,100,,,698616.0,ns,153
quick,random,100,,,720143.0,ns,156
quick,random,100,,,733533.0,ns,159
quick,random,100,,,748206.0,ns,162
quick,random,100,,,760342.0,ns,165
quick,random,100,,,787957.0,ns,168
quick,random,100,,,798373.0,ns,171
quick,random,100,,,813189.0,ns,174
quick,random,100,,,816487.0,ns,177
quick,random,100,,,870910.0,ns,180
quick,random,100,,,886209.0,ns,183
quick,random,100,,,864016.0,ns,186
quick,random,100,,,864107.0,ns,189
quick,random,100,,,894600.0,ns,192
quick,random,100,,,910670.0,ns,195
quick,random,100,,,952514.0,ns,198
quick,random,100,,,906133.0,ns,201
quick,random,100,,,920007.0,ns,204
quick,random,100,,,932867.0,ns,207
quick,random,100,,,948293.0,ns,210
quick,random,100,,,974857.0,ns,213
quick,random,100,,,990478.0,ns,216
quick,random,100,,,1003414.0,ns,219
quick,random,100,,,1026984.0,ns,222
quick,random,100,,,1045079.0,ns,225
quick,random,100,,,1049232.0,ns,228
quick,random,100,,,1053633.0,ns,231
quick,random,100,,,1077800.0,ns,234
quick,random,100,,,1078070.0,ns,237
quick,random,100,,,1094357.0,ns,240
quick,random,100,,,1102186.0,ns,243
quick,random,100,,,1117378.0,ns,246
quick,random,100,,,1144224.0,ns,249
quick,random,100,,,1150488.0,ns,252
quick,random,100,,,1179368.0,ns,255
quick,random,100,,,1191330.0,ns,258
quick,random,100,,,1186455.0,ns,261
quick,random,100,,,1191496.0,ns,264
quick,random,100,,,1204338.0,ns,267
quick,random,100,,,1219305.0,ns,270
quick,random,100,,,1253890.0,ns,273
quick,random,100,,,1276180.0,ns,276
quick,random,100,,,1259332.0,ns,279
quick,random,100,,,1276384.0,ns,282
quick,random,100,,,1309763.0,ns,285
quick,random,100,,,1332282.0,ns,288
quick,random,100,,,1345924.0,ns,291
quick,random,100,,,1336769.0,ns,294
quick,random,100,,,1341593.0,ns,297
quick,random,100,,,1373576.0,ns,300
quick,random,100,,,1378608.0,ns,303
quick,random,100,,,1383218.0,ns,306
quick,random,100,,,1396906.0,ns,309
quick,random,100,,,1410317.0,ns,312
quick,random,100,,,1425026.0,ns,315
quick,random,100,,,1469168.0,ns,318
quick,random,100,,,1467873.0,ns,321
quick,random,100,,,1475098.0,ns,324
quick,random,100,,,1479039.0,ns,327
quick,random,100,,,1516795.0,ns,330
quick,random,100,,,1506007.0,ns,333
quick,random,100,,,1544478.0,ns,336
quick,random,100,,,1567289.0,ns,339
quick,random,100,,,1588227.0,ns,342
quick,random,100,,,1579845.0,ns,345
quick,random,100,,,1581214.0,ns,348
quick,random,100,,,1616771.0,ns,351
quick,random,100,,,1638417.0,ns,354
quick,random,100,,,1632298.0,ns,357
quick,random,100,,,1652247.0,ns,360
quick,random,100,,,1646713.0,ns,363
quick,random,100,,,1652349.0,ns,366
quick,random,100,,,1668859.0,ns,369
quick,random,100,,,1683666.0,ns,372
quick,random,100,,,1695567.0,ns,375
quick,random,100,,,1737392.0,ns,378
quick,random,100,,,1755334.0,ns,381
quick,random,100,,,1749797.0,ns,384
quick,random,100,,,1767346.0,ns,387
quick,random,100,,,1770098.0,ns,390
quick,random,100,,,1801564.0,ns,393
quick,random,100,,,1789754.0,ns,396
quick,random,100,,,1819255.0,ns,399
quick,random,100,,,1852747.0,ns,402
quick,random,100,,,1861292.0,ns,405
quick,random,100,,,1862279.0,ns,408
quick,random,100,,,1878810.0,ns,411
quick,random,100,,,1874356.0,ns,414
quick,random,100,,,1885406.0,ns,417
quick,random,100,,,1925249.0,ns,420
quick,random,100,,,1914607.0,ns,423
quick,random,100,,,1944545.0,ns,426
quick,random,100,,,2005669.0,ns,429
quick,random,100,,,2028798.0,ns,432
quick,random,100,,,2112109.0,ns,435
quick,random,100,,,2129309.0,ns,438
quick,random,100,,,2114103.0,ns,441
quick,random,100,,,2013151.0,ns,444
quick,random,100,,,2170019.0,ns,447
quick,random,100,,,2185814.0,ns,450
quick,random,100,,,2201315.0,ns,453
quick,random,100,,,2216614.0,ns,456
quick,random,100,,,2197357.0,ns,459
quick,random,100,,,2063015.0,ns,462
quick,random,100,,,2067284.0,ns,465
quick,random,100,,,2091062.0,ns,468
quick,random,100,,,2310168.0,ns,471
quick,random,100,,,2290011.0,ns,474
quick,random,100,,,2288992.0,ns,477
quick,random,100,,,2336731.0,ns,480
quick,random,100,,,2314183.0,ns,483
quick,random,100,,,2358262.0,ns,486
quick,random,100,,,2332452.0,ns,489
quick,random,100,,,2314421.0,ns,492
quick,random,100,,,2412641.0,ns,495
quick,random,100,,,2415006.0,ns,498
quick,random,100,,,2364137.0,ns,501
quick,random,100,,,2300230.0,ns,504
quick,random,100,,,2440806.0,ns,507
quick,random,100,,,2322403.0,ns,510
quick,random,100,,,2373217.0,ns,513
quick,random,100,,,2291142.0,ns,516
quick,random,100,,,2417394.0,ns,519
quick,random,100,,,2445956.0,ns,522
quick,random,100,,,2437031.0,ns,525
quick,random,100,,,2421458.0,ns,528
quick,random,100,,,2430724.0,ns,531
quick,random,100,,,2415243.0,ns,534
quick,random,100,,,2458680.0,ns,537
quick,random,100,,,2463812.0,ns,540
quick,random,100,,,2516079.0,ns,543
quick,random,100,,,2582891.0,ns,546
quick,random,100,,,2533089.0,ns,549
quick,random,100,,,2571658.0,ns,552
quick,random,100,,,2514628.0,ns,555
quick,random,100,,,2574249.0,ns,558
quick,random,100,,,2540900.0,ns,561
quick,random,100,,,2584171.0,ns,564
quick,random,100,,,2583700.0,ns,567
quick,random,100,,,2593775.0,ns,570
quick,random,100,,,2646522.0,ns,573
quick,random,100,,,2608938.0,ns,576
quick,random,100,,,2621801.0,ns,579
quick,random,100,,,2633504.0,ns,582
quick,random,100,,,2649690.0,ns,585
quick,random,100,,,2658857.0,ns,588
quick,random,100,,,2699775.0,ns,591
quick,random,100,,,2698684.0,ns,594
quick,random,100,,,2722784.0,ns,597
quick,random,100,,,2727247.0,ns,600
quick,random,100,,,2754186.0,ns,603
quick,random,100,,,2844318.0,ns,606
quick,random,100,,,2842904.0,ns,609
quick,random,100,,,2760721.0,ns,612
quick,random,100,,,2774499.0,ns,615
quick,random,100,,,2825404.0,ns,618
quick,random,100,,,2812491.0,ns,621
quick,random,100,,,2825556.0,ns,624
quick,random,100,,,2851794.0,ns,627
quick,random,100,,,2852048.0,ns,630
quick,random,100,,,2893185.0,ns,633
quick,random,100,,,2911390.0,ns,636
quick,random,100,,,2891910.0,ns,639
quick,random,100,,,2921616.0,ns,642
quick,random,100,,,2930570.0,ns,645
quick,random,100,,,2963394.0,ns,648
quick,random,100,,,2943810.0,ns,651
quick,random,100,,,2960366.0,ns,654
quick,random,100,,,2957929.0,ns,657
quick,random,100,,,3009102.0,ns,660
quick,random,100,,,2984891.0,ns,663
quick,random,100,,,3039750.0,ns,666
quick,random,100,,,3010923.0,ns,669
quick,random,100,,,3063190.0,ns,672
quick,random,100,,,3111042.0,ns,675
quick,random,100,,,3074505.0,ns,678
quick,random,100,,,3083392.0,ns,681
quick,random,100,,,3096906.0,ns,684
quick,random,100,,,3138513.0,ns,687
quick,random,100,,,3123845.0,ns,690
quick,random,100,,,3137481.0,ns,693
quick,random,100,,,3161060.0,ns,696
quick,random,100,,,3182369.0,ns,699
quick,random,100,,,3158987.0,ns,702
quick,random,100,,,3209463.0,ns,705
quick,random,100,,,3223188.0,ns,708
quick,random,100,,,3248263.0,ns,711
quick,random,100,,,3261610.0,ns,714
quick,random,100,,,3247646.0,ns,717
quick,random,100,,,3260447.0,ns,720
quick,random,100,,,3275000.0,ns,723
quick,random,100,,,3288376.0,ns,726
quick,random,100,,,3300240.0,ns,729
quick,random,100,,,3318840.0,ns,732
quick,random,100,,,3339117.0,ns,735
quick,random,100,,,3353455.0,ns,738
quick,random,100,,,3350730.0,ns,741
quick,random,100,,,3353240.0,ns,744
quick,random,100,,,3383256.0,ns,747
quick,random,100,,,3348966.0,ns,750
quick,random,100,,,3416804.0,ns,753
quick,random,100,,,3413709.0,ns,756
quick,random,100,,,3514029.0,ns,759
quick,random,100,,,3500283.0,ns,762
quick,random,100,,,3421322.0,ns,765
quick,random,100,,,3480440.0,ns,768
quick,random,100,,,3489753.0,ns,771
quick,random,100,,,3543950.0,ns,774
quick,random,100,,,3515583.0,ns,777
quick,random,100,,,3576738.0,ns,780
quick,random,100,,,3520923.0,ns,783
quick,random,100,,,3570918.0,ns,786
quick,random,100,,,3555617.0,ns,789
quick,random,100,,,3603973.0,ns,792
quick,random,100,,,3628063.0,ns,795
quick,random,100,,,3631632.0,ns,798
quick,random,100,,,3639802.0,ns,801
quick,random,100,,,3703554.0,ns,804
quick,random,100,,,3689514.0,ns,807
quick,random,100,,,3655699.0,ns,810
quick,random,100,,,3648225.0,ns,813
quick,random,100,,,3677042.0,ns,816
quick,random,100,,,3747921.0,ns,819
quick,random,100,,,3719923.0,ns,822
quick,random,100,,,3743841.0,ns,825
quick,random,100,,,3768465.0,ns,828
quick,random,100,,,3748143.0,ns,831
quick,random,100,,,3827361.0,ns,834
quick,random,100,,,3753811.0,ns,837
quick,random,100,,,3777805.0,ns,840
quick,random,100,,,3907637.0,ns,843
quick,random,100,,,3815867.0,ns,846
quick,random,100,,,3834392.0,ns,849
quick,random,100,,,3853254.0,ns,852
quick,random,100,,,3873521.0,ns,855
quick,random,100,,,3850455.0,ns,858
quick,random,100,,,3923929.0,ns,861
quick,random,100,,,4043235.0,ns,864
quick,random,100,,,3925954.0,ns,867
